pdbid,pose,rmsd,head,pll
1a30,1a30_868,5.560,-6.090797,nan
1a30,1a30_87,9.320,-8.572294,nan
1a30,1a30_883,5.480,-4.428549,nan
1a30,1a30_899,5.380,-3.810211,nan
1a30,1a30_90,3.870,-1.897883,nan
1a30,1a30_920,8.580,-8.082093,nan
1a30,1a30_935,9.200,-8.499104,nan
1a30,1a30_938,9.210,-8.403514,nan
1a30,1a30_940,4.120,-1.593271,nan
1a30,1a30_942,7.330,-8.176949,nan
1a30,1a30_944,8.690,-8.430261,nan
1a30,1a30_955,9.330,-8.532759,nan
1a30,1a30_972,8.830,-8.457319,nan
1a30,1a30_985,8.630,-8.238263,nan
1a30,1a30_992,3.160,-2.337219,nan
1a30,1a30_997,8.430,-8.227183,nan
1a30,1a30_999,7.880,-7.582586,nan
1bcu,1bcu_11,1.000,-0.624414,nan
1bcu,1bcu_220,1.130,-0.557834,nan
1bcu,1bcu_270,3.320,-1.923269,nan
1bcu,1bcu_309,0.360,-0.375913,nan
1bcu,1bcu_33,1.200,-0.820796,nan
1bcu,1bcu_334,0.630,-0.227544,nan
1bcu,1bcu_362,0.590,-0.731653,nan
1bcu,1bcu_397,0.660,-0.652758,nan
1bcu,1bcu_406,0.870,-0.411817,nan
1bcu,1bcu_424,1.830,-2.314601,nan
1bcu,1bcu_442,1.960,-1.430592,nan
1bcu,1bcu_451,3.560,-2.006298,nan
1bcu,1bcu_454,4.570,-3.781395,nan
1bcu,1bcu_462,2.530,-1.201061,nan
1bcu,1bcu_469,2.570,-2.304668,nan
1bcu,1bcu_473,2.560,-1.520004,nan
1bcu,1bcu_479,1.440,-0.949170,nan
1bcu,1bcu_483,2.150,-1.702407,nan
1bcu,1bcu_495,1.780,-1.914812,nan
1bcu,1bcu_564,6.110,-5.832875,nan
1bcu,1bcu_585,5.890,-6.115115,nan
1bcu,1bcu_591,4.490,-4.651512,nan
1bcu,1bcu_595,3.320,-3.516246,nan
1bcu,1bcu_608,6.860,-6.154142,nan
1bcu,1bcu_617,2.900,-2.360597,nan
1bcu,1bcu_634,2.550,-1.764248,nan
1bcu,1bcu_653,3.250,-2.681167,nan
1bcu,1bcu_661,2.080,-1.157088,nan
1bcu,1bcu_684,0.920,-0.891159,nan
1bcu,1bcu_695,3.450,-2.892540,nan
1bcu,1bcu_701,1.860,-1.126625,nan
1bcu,1bcu_703,0.610,-0.536202,nan
1bcu,1bcu_708,8.320,-7.616666,nan
1bcu,1bcu_712,8.210,-7.482226,nan
1bcu,1bcu_715,6.420,-6.043928,nan
1bcu,1bcu_717,7.050,-6.793185,nan
1bcu,1bcu_718,9.180,-8.376130,nan
1bcu,1bcu_720,4.760,-3.433777,nan
1bcu,1bcu_725,6.310,-6.183247,nan
1bcu,1bcu_729,5.070,-4.888166,nan
1bcu,1bcu_738,6.500,-6.355517,nan
1bcu,1bcu_741,8.390,-8.254799,nan
1bcu,1bcu_742,7.620,-7.507571,nan
1bcu,1bcu_745,7.580,-6.738648,nan
1bcu,1bcu_749,7.820,-7.336955,nan
1bcu,1bcu_752,6.430,-6.294993,nan
1bcu,1bcu_753,9.220,-8.113201,nan
1bcu,1bcu_754,8.100,-7.311913,nan
1bcu,1bcu_756,6.010,-5.018559,nan
1bcu,1bcu_758,8.420,-8.074662,nan
1bcu,1bcu_761,8.500,-7.526776,nan
1bcu,1bcu_764,8.800,-7.628098,nan
1bcu,1bcu_765,9.970,-8.230350,nan
1bcu,1bcu_772,7.130,-7.454925,nan
1bcu,1bcu_773,9.200,-8.331022,nan
1bcu,1bcu_777,9.120,-7.987821,nan
1bcu,1bcu_778,9.890,-8.556675,nan
1bcu,1bcu_782,9.550,-8.220639,nan
1bcu,1bcu_788,9.650,-8.341229,nan
1bcu,1bcu_790,9.390,-8.575673,nan
1bcu,1bcu_803,2.070,-1.075311,nan
1bcu,1bcu_806,0.710,-0.812545,nan
1bcu,1bcu_813,7.670,-7.690842,nan
1bcu,1bcu_825,1.240,-0.989172,nan
1bcu,1bcu_828,3.520,-2.907732,nan
1bcu,1bcu_829,3.820,-3.053059,nan
1bcu,1bcu_843,6.520,-7.401403,nan
1bcu,1bcu_850,7.670,-6.773606,nan
1bcu,1bcu_852,2.220,-1.180419,nan
1bcu,1bcu_855,6.790,-6.842872,nan
1bcu,1bcu_862,9.040,-8.199481,nan
1bcu,1bcu_869,4.130,-2.780813,nan
1bcu,1bcu_878,5.730,-5.944256,nan
1bcu,1bcu_881,7.740,-7.170007,nan
1bcu,1bcu_885,5.100,-5.390678,nan
1bcu,1bcu_886,5.710,-6.111826,nan
1bcu,1bcu_887,4.260,-3.487322,nan
1bcu,1bcu_888,5.260,-4.146465,nan
1bcu,1bcu_890,4.300,-3.583893,nan
1bcu,1bcu_893,8.620,-8.365148,nan
1bcu,1bcu_898,5.450,-3.829138,nan
1bcu,1bcu_903,1.580,-1.194292,nan
1bcu,1bcu_915,7.970,-6.757321,nan
1bcu,1bcu_919,3.860,-2.057374,nan
1bcu,1bcu_920,3.430,-2.321914,nan
1bcu,1bcu_923,0.750,-0.632682,nan
1bcu,1bcu_931,7.490,-7.932647,nan
1bcu,1bcu_933,5.120,-5.099999,nan
1bcu,1bcu_939,4.450,-4.016284,nan
1bcu,1bcu_949,3.250,-2.843491,nan
1bcu,1bcu_967,4.740,-3.827883,nan
1bcu,1bcu_971,8.050,-8.427013,nan
1bcu,1bcu_977,4.690,-4.391854,nan
1bcu,1bcu_980,5.750,-5.811221,nan
1bcu,1bcu_981,2.980,-1.933479,nan
1bcu,1bcu_983,4.690,-4.101902,nan
1bcu,1bcu_984,8.420,-7.902636,nan
1bcu,1bcu_989,5.640,-5.043532,nan
1bcu,1bcu_991,6.660,-6.569558,nan
1bcu,1bcu_996,1.920,-1.404917,nan
1bzc,1bzc_101,5.240,-4.241252,nan
1bzc,1bzc_111,4.980,-4.493474,nan
1bzc,1bzc_142,1.300,-1.160666,nan
1bzc,1bzc_190,0.680,-1.045825,nan
1bzc,1bzc_217,0.750,-1.350120,nan
1bzc,1bzc_223,0.770,-1.484623,nan
1bzc,1bzc_225,1.010,-0.979495,nan
1bzc,1bzc_260,2.010,-1.717677,nan
1bzc,1bzc_265,0.700,-1.598669,nan
1bzc,1bzc_300,0.760,-1.141502,nan
1bzc,1bzc_323,0.740,-0.782937,nan
1bzc,1bzc_375,0.690,-0.959964,nan
1bzc,1bzc_409,8.420,-2.898670,nan
1bzc,1bzc_412,5.630,-4.019172,nan
1bzc,1bzc_414,7.550,-1.141376,nan
1bzc,1bzc_427,5.290,-3.835246,nan
1bzc,1bzc_43,0.830,-0.753047,nan
1bzc,1bzc_439,5.750,-3.734474,nan
1bzc,1bzc_440,4.880,-3.416088,nan
1bzc,1bzc_443,8.240,-4.200048,nan
1bzc,1bzc_449,7.590,-1.957215,nan
1bzc,1bzc_461,2.980,-2.023209,nan
1bzc,1bzc_463,8.030,-3.451177,nan
1bzc,1bzc_464,5.340,-3.163128,nan
1bzc,1bzc_466,1.990,-1.988857,nan
1bzc,1bzc_469,3.030,-1.643349,nan
1bzc,1bzc_473,5.260,-3.495670,nan
1bzc,1bzc_481,3.380,-2.046838,nan
1bzc,1bzc_487,4.600,-2.241794,nan
1bzc,1bzc_502,1.750,-1.468918,nan
1bzc,1bzc_504,1.400,-1.484300,nan
1bzc,1bzc_522,3.160,-2.486382,nan
1bzc,1bzc_524,2.610,-1.786069,nan
1bzc,1bzc_526,1.760,-2.455248,nan
1bzc,1bzc_527,0.960,-1.863978,nan
1bzc,1bzc_530,1.490,-1.428304,nan
1bzc,1bzc_539,1.750,-2.933731,nan
1bzc,1bzc_546,2.880,-1.736584,nan
1bzc,1bzc_549,3.190,-2.841010,nan
1bzc,1bzc_556,1.770,-1.837767,nan
1bzc,1bzc_558,2.770,-2.103566,nan
1bzc,1bzc_566,7.260,-2.119329,nan
1bzc,1bzc_577,2.020,-1.842582,nan
1bzc,1bzc_579,3.130,-2.058337,nan
1bzc,1bzc_588,2.120,-3.637115,nan
1bzc,1bzc_592,2.620,-3.692620,nan
1bzc,1bzc_593,1.710,-2.034086,nan
1bzc,1bzc_597,2.890,-2.953389,nan
1bzc,1bzc_608,9.650,-7.690049,nan
1bzc,1bzc_611,5.640,-3.207170,nan
1bzc,1bzc_614,2.740,-3.738677,nan
1bzc,1bzc_615,6.340,-7.451534,nan
1bzc,1bzc_620,7.190,-8.518733,nan
1bzc,1bzc_622,6.480,-4.678327,nan
1bzc,1bzc_625,3.300,-3.731002,nan
1bzc,1bzc_629,3.240,-3.508399,nan
1bzc,1bzc_633,3.010,-4.651968,nan
1bzc,1bzc_644,6.810,-6.064558,nan
1bzc,1bzc_651,6.250,-3.667770,nan
1bzc,1bzc_652,6.780,-4.169325,nan
1bzc,1bzc_659,9.030,-7.667770,nan
1bzc,1bzc_660,8.500,-7.996035,nan
1bzc,1bzc_664,7.730,-5.272506,nan
1bzc,1bzc_666,7.350,-3.077387,nan
1bzc,1bzc_669,3.390,-3.245578,nan
1bzc,1bzc_670,7.210,-6.475436,nan
1bzc,1bzc_671,6.550,-5.984507,nan
1bzc,1bzc_674,5.750,-3.043801,nan
1bzc,1bzc_677,4.030,-3.899416,nan
1bzc,1bzc_681,5.840,-6.759988,nan
1bzc,1bzc_682,7.890,-7.943399,nan
1bzc,1bzc_686,8.520,-6.847872,nan
1bzc,1bzc_688,8.710,-5.022682,nan
1bzc,1bzc_690,6.480,-5.967213,nan
1bzc,1bzc_694,5.400,-4.963642,nan
1bzc,1bzc_700,7.090,-5.874456,nan
1bzc,1bzc_709,0.680,-1.343074,nan
1bzc,1bzc_778,7.270,-1.351928,nan
1bzc,1bzc_963,3.030,-1.857112,nan
1c5z,1c5z_247,0.610,-0.370392,nan
1c5z,1c5z_258,0.920,-0.589617,nan
1c5z,1c5z_3,0.400,-0.213377,nan
1c5z,1c5z_402,0.870,-0.082391,nan
1c5z,1c5z_415,2.670,-1.801624,nan
1c5z,1c5z_425,1.200,-1.160216,nan
1c5z,1c5z_427,0.920,-0.769316,nan
1c5z,1c5z_431,1.110,-0.210238,nan
1c5z,1c5z_438,2.900,-1.260415,nan
1c5z,1c5z_449,0.720,-0.816892,nan
1c5z,1c5z_452,0.770,-0.320325,nan
1c5z,1c5z_460,1.660,-1.159253,nan
1c5z,1c5z_465,0.970,-0.834976,nan
1c5z,1c5z_482,1.870,-0.992351,nan
1c5z,1c5z_509,6.500,-6.138457,nan
1c5z,1c5z_516,6.770,-5.207530,nan
1c5z,1c5z_519,2.740,-2.146748,nan
1c5z,1c5z_520,4.730,-3.709340,nan
1c5z,1c5z_530,1.330,-0.317724,nan
1c5z,1c5z_536,7.120,-5.856762,nan
1c5z,1c5z_537,2.810,-0.482028,nan
1c5z,1c5z_542,5.430,-3.576774,nan
1c5z,1c5z_544,5.280,-4.759487,nan
1c5z,1c5z_546,3.740,-1.698750,nan
1c5z,1c5z_556,3.940,-2.246018,nan
1c5z,1c5z_558,3.630,-1.732128,nan
1c5z,1c5z_563,3.980,-2.913548,nan
1c5z,1c5z_564,3.160,-0.776765,nan
1c5z,1c5z_577,1.710,-0.729698,nan
1c5z,1c5z_583,6.860,-5.363962,nan
1c5z,1c5z_586,2.110,-1.100168,nan
1c5z,1c5z_590,5.140,-4.018529,nan
1c5z,1c5z_593,3.440,-2.062438,nan
1c5z,1c5z_596,4.780,-2.962163,nan
1c5z,1c5z_607,1.500,-1.103072,nan
1c5z,1c5z_613,2.120,-1.486932,nan
1c5z,1c5z_627,0.960,-0.415708,nan
1c5z,1c5z_642,1.330,-0.479014,nan
1c5z,1c5z_661,2.510,-1.010518,nan
1c5z,1c5z_665,1.460,-1.091053,nan
1c5z,1c5z_698,2.040,-1.174566,nan
1c5z,1c5z_700,1.460,-1.482014,nan
1c5z,1c5z_711,4.440,-2.435656,nan
1c5z,1c5z_715,5.330,-3.609454,nan
1c5z,1c5z_722,6.900,-5.525150,nan
1c5z,1c5z_733,7.080,-6.393691,nan
1c5z,1c5z_734,3.500,-2.544981,nan
1c5z,1c5z_738,6.400,-4.267405,nan
1c5z,1c5z_739,7.050,-6.559432,nan
1c5z,1c5z_741,5.850,-4.051464,nan
1c5z,1c5z_743,7.120,-5.700467,nan
1c5z,1c5z_753,5.800,-4.987419,nan
1c5z,1c5z_754,6.020,-4.582017,nan
1c5z,1c5z_759,4.750,-3.464845,nan
1c5z,1c5z_761,6.740,-5.563993,nan
1c5z,1c5z_763,6.840,-5.538066,nan
1c5z,1c5z_765,7.860,-5.944180,nan
1c5z,1c5z_766,7.590,-6.112356,nan
1c5z,1c5z_776,2.190,-1.387760,nan
1c5z,1c5z_781,5.450,-3.943408,nan
1c5z,1c5z_790,4.780,-2.906498,nan
1c5z,1c5z_8,0.450,-0.311143,nan
1c5z,1c5z_804,4.110,-2.882948,nan
1c5z,1c5z_805,3.170,-1.887438,nan
1c5z,1c5z_811,3.920,-2.570306,nan
1c5z,1c5z_826,5.000,-3.590725,nan
1c5z,1c5z_828,5.040,-3.672863,nan
1c5z,1c5z_829,7.080,-6.037581,nan
1c5z,1c5z_836,7.000,-6.525135,nan
1c5z,1c5z_839,2.990,-2.400319,nan
1c5z,1c5z_840,6.700,-5.186158,nan
1c5z,1c5z_844,4.800,-4.368795,nan
1c5z,1c5z_862,5.830,-4.022558,nan
1c5z,1c5z_892,4.770,-2.779890,nan
1c5z,1c5z_898,5.200,-3.523358,nan
1c5z,1c5z_931,3.860,-2.201197,nan
1c5z,1c5z_937,7.080,-5.787539,nan
1c5z,1c5z_953,7.030,-5.455157,nan
1c5z,1c5z_955,7.210,-6.596442,nan
1c5z,1c5z_959,4.240,-3.756896,nan
1e66,1e66_158,0.560,-0.625176,nan
1e66,1e66_247,0.710,-0.997646,nan
1e66,1e66_402,0.660,-0.789516,nan
1e66,1e66_404,0.970,-0.839880,nan
1e66,1e66_406,0.860,-0.605729,nan
1e66,1e66_412,1.290,-1.203328,nan
1e66,1e66_419,0.970,-1.117090,nan
1e66,1e66_422,1.500,-1.034742,nan
1e66,1e66_429,1.550,-1.728700,nan
1e66,1e66_440,1.570,-1.854253,nan
1e66,1e66_442,3.970,-3.364778,nan
1e66,1e66_466,1.940,-1.852640,nan
1e66,1e66_467,1.610,-1.381564,nan
1e66,1e66_468,2.900,-2.689439,nan
1e66,1e66_477,2.060,-2.243038,nan
1e66,1e66_483,1.570,-1.911901,nan
1e66,1e66_484,1.510,-1.362432,nan
1e66,1e66_489,4.050,-3.963478,nan
1e66,1e66_495,3.270,-3.104803,nan
1e66,1e66_498,4.300,-3.447158,nan
1e66,1e66_504,3.900,-3.552938,nan
1e66,1e66_505,3.570,-3.318415,nan
1e66,1e66_550,4.330,-4.291641,nan
1e66,1e66_551,5.760,-4.341550,nan
1e66,1e66_552,6.230,-6.019267,nan
1e66,1e66_553,6.450,-5.470842,nan
1e66,1e66_573,6.060,-2.735171,nan
1e66,1e66_574,6.100,-4.815988,nan
1e66,1e66_577,5.600,-5.385142,nan
1e66,1e66_587,2.430,-2.787344,nan
1e66,1e66_589,2.270,-1.717657,nan
1e66,1e66_591,6.880,-6.729339,nan
1e66,1e66_617,4.970,-4.017609,nan
1e66,1e66_633,5.580,-4.580284,nan
1e66,1e66_656,2.770,-3.072996,nan
1e66,1e66_661,2.740,-2.468707,nan
1e66,1e66_678,3.020,-2.598573,nan
1e66,1e66_700,3.370,-3.316504,nan
1e66,1e66_702,5.320,-4.262817,nan
1e66,1e66_712,1.760,-1.251855,nan
1e66,1e66_733,6.200,-6.414855,nan
1e66,1e66_744,4.250,-3.680462,nan
1e66,1e66_746,3.800,-3.393782,nan
1e66,1e66_754,5.230,-4.035457,nan
1e66,1e66_755,5.600,-3.347361,nan
1e66,1e66_761,2.360,-2.742897,nan
1e66,1e66_763,6.260,-3.860424,nan
1e66,1e66_767,3.530,-3.041157,nan
1e66,1e66_768,2.890,-2.465958,nan
1e66,1e66_771,6.060,-3.169946,nan
1e66,1e66_772,6.260,-4.454447,nan
1e66,1e66_774,1.090,-1.060105,nan
1e66,1e66_787,0.600,-0.135900,nan
1e66,1e66_806,4.290,-4.217272,nan
1e66,1e66_807,5.030,-4.811846,nan
1e66,1e66_810,4.760,-4.354904,nan
1e66,1e66_823,6.220,-4.761250,nan
1e66,1e66_841,2.840,-2.197688,nan
1e66,1e66_842,4.770,-2.982201,nan
1e66,1e66_859,3.410,-2.891527,nan
1e66,1e66_860,5.850,-2.531819,nan
1e66,1e66_862,3.890,-3.802645,nan
1e66,1e66_863,2.510,-2.074980,nan
1e66,1e66_865,4.570,-3.725068,nan
1e66,1e66_867,4.390,-3.549834,nan
1e66,1e66_870,5.700,-4.940597,nan
1e66,1e66_891,0.780,-0.790487,nan
1e66,1e66_907,0.850,-0.690967,nan
1e66,1e66_909,0.980,-0.906378,nan
1e66,1e66_921,5.460,-3.615805,nan
1eby,1eby_169,9.110,-8.572216,nan
1eby,1eby_211,0.970,-0.675648,nan
1eby,1eby_217,0.990,-1.293007,nan
1eby,1eby_218,2.340,-2.319114,nan
1eby,1eby_223,0.840,-0.751910,nan
1eby,1eby_231,2.090,-1.882829,nan
1eby,1eby_233,1.830,-1.618548,nan
1eby,1eby_237,2.520,-1.810308,nan
1eby,1eby_238,0.950,-1.251921,nan
1eby,1eby_244,1.200,-1.556416,nan
1eby,1eby_245,2.010,-1.928194,nan
1eby,1eby_255,2.530,-2.751610,nan
1eby,1eby_259,2.570,-2.974930,nan
1eby,1eby_262,1.010,-1.157744,nan
1eby,1eby_265,0.780,-0.832035,nan
1eby,1eby_266,2.030,-1.988867,nan
1eby,1eby_269,0.880,-0.922045,nan
1eby,1eby_271,1.780,-1.856936,nan
1eby,1eby_279,1.870,-1.279073,nan
1eby,1eby_294,1.860,-2.021448,nan
1eby,1eby_295,0.870,-1.062190,nan
1eby,1eby_297,3.360,-1.787004,nan
1eby,1eby_299,0.810,-0.694421,nan
1eby,1eby_326,1.900,-1.242615,nan
1eby,1eby_350,9.690,-8.572078,nan
1eby,1eby_361,0.860,-0.541412,nan
1eby,1eby_364,0.950,-0.854035,nan
1eby,1eby_372,9.300,-8.550317,nan
1eby,1eby_414,3.780,-3.590889,nan
1eby,1eby_416,2.570,-2.918226,nan
1eby,1eby_444,3.950,-4.176367,nan
1eby,1eby_447,2.720,-3.098697,nan
1eby,1eby_453,3.340,-2.751325,nan
1eby,1eby_456,4.570,-5.134092,nan
1eby,1eby_464,4.140,-3.914057,nan
1eby,1eby_470,3.630,-3.437814,nan
1eby,1eby_472,3.000,-2.885008,nan
1eby,1eby_473,3.640,-3.222359,nan
1eby,1eby_477,3.190,-3.498775,nan
1eby,1eby_481,4.940,-3.361638,nan
1eby,1eby_488,4.110,-4.343304,nan
1eby,1eby_490,4.070,-6.081597,nan
1eby,1eby_493,5.950,-7.684115,nan
1eby,1eby_499,3.310,-5.339657,nan
1eby,1eby_503,7.810,-8.213993,nan
1eby,1eby_507,8.970,-8.556287,nan
1eby,1eby_514,5.840,-7.472588,nan
1eby,1eby_517,9.230,-8.544849,nan
1eby,1eby_519,6.000,-7.014580,nan
1eby,1eby_531,5.540,-5.372130,nan
1eby,1eby_532,7.620,-8.543228,nan
1eby,1eby_535,6.950,-8.108860,nan
1eby,1eby_538,4.050,-5.282081,nan
1eby,1eby_540,5.140,-5.320031,nan
1eby,1eby_548,5.420,-7.272149,nan
1eby,1eby_556,6.330,-6.739065,nan
1eby,1eby_563,4.310,-6.071645,nan
1eby,1eby_569,9.790,-8.556886,nan
1eby,1eby_571,4.160,-4.010601,nan
1eby,1eby_572,8.960,-8.439202,nan
1eby,1eby_573,9.440,-8.516016,nan
1eby,1eby_575,7.090,-8.210187,nan
1eby,1eby_576,6.470,-8.262131,nan
1eby,1eby_580,9.200,-8.557865,nan
1eby,1eby_582,7.830,-7.699550,nan
1eby,1eby_584,8.020,-8.303554,nan
1eby,1eby_595,8.640,-8.550146,nan
1eby,1eby_597,7.060,-8.438469,nan
1eby,1eby_600,9.680,-8.573718,nan
1eby,1eby_634,6.490,-7.746423,nan
1eby,1eby_641,8.770,-8.558876,nan
1eby,1eby_645,8.970,-8.580431,nan
1eby,1eby_647,8.550,-8.558258,nan
1eby,1eby_649,7.170,-8.294231,nan
1eby,1eby_658,4.630,-4.595547,nan
1eby,1eby_659,7.660,-7.754549,nan
1eby,1eby_667,6.110,-5.594836,nan
1eby,1eby_673,8.490,-8.571018,nan
1eby,1eby_688,6.710,-6.440673,nan
1eby,1eby_689,6.870,-8.535225,nan
1eby,1eby_694,8.410,-8.569556,nan
1eby,1eby_731,3.120,-2.101754,nan
1eby,1eby_741,6.510,-7.039340,nan
1eby,1eby_751,7.570,-8.506938,nan
1eby,1eby_763,4.940,-5.880865,nan
1eby,1eby_767,7.170,-8.191996,nan
1eby,1eby_769,6.100,-7.026232,nan
1eby,1eby_770,5.020,-5.919841,nan
1eby,1eby_771,9.270,-8.544161,nan
1eby,1eby_772,5.360,-6.572330,nan
1eby,1eby_773,8.410,-8.576224,nan
1eby,1eby_774,5.980,-5.752658,nan
1eby,1eby_777,9.300,-8.548044,nan
1eby,1eby_779,7.250,-8.407462,nan
1eby,1eby_791,5.730,-6.965028,nan
1eby,1eby_792,6.300,-7.643189,nan
1eby,1eby_803,1.780,-1.977068,nan
1eby,1eby_813,1.740,-1.164304,nan
1eby,1eby_826,3.010,-2.900958,nan
1eby,1eby_848,1.500,-1.862392,nan
1g2k,1g2k_209,1.050,-1.224288,nan
1g2k,1g2k_225,0.700,-1.176983,nan
1g2k,1g2k_242,1.130,-1.286102,nan
1g2k,1g2k_247,0.640,-0.627952,nan
1g2k,1g2k_248,0.990,-1.193969,nan
1g2k,1g2k_265,0.690,-0.915450,nan
1g2k,1g2k_271,0.510,-0.814045,nan
1g2k,1g2k_283,1.010,-0.950092,nan
1g2k,1g2k_290,1.240,-1.147897,nan
1g2k,1g2k_294,0.960,-1.123949,nan
1g2k,1g2k_295,1.170,-1.246245,nan
1g2k,1g2k_306,2.670,-1.093532,nan
1g2k,1g2k_328,0.540,-0.694632,nan
1g2k,1g2k_403,2.840,-2.805807,nan
1g2k,1g2k_404,4.060,-2.364240,nan
1g2k,1g2k_408,3.690,-2.297307,nan
1g2k,1g2k_417,2.550,-2.860313,nan
1g2k,1g2k_420,3.870,-5.005910,nan
1g2k,1g2k_436,5.040,-2.582852,nan
1g2k,1g2k_454,6.930,-4.283907,nan
1g2k,1g2k_456,4.330,-2.960737,nan
1g2k,1g2k_458,5.040,-6.103830,nan
1g2k,1g2k_460,3.650,-4.628154,nan
1g2k,1g2k_462,4.470,-3.238081,nan
1g2k,1g2k_466,4.190,-5.069546,nan
1g2k,1g2k_467,4.580,-4.711986,nan
1g2k,1g2k_468,3.440,-2.652901,nan
1g2k,1g2k_469,2.570,-2.653495,nan
1g2k,1g2k_473,5.800,-5.578789,nan
1g2k,1g2k_475,2.830,-3.890744,nan
1g2k,1g2k_482,2.960,-2.050941,nan
1g2k,1g2k_487,5.950,-7.956959,nan
1g2k,1g2k_497,3.210,-3.526902,nan
1g2k,1g2k_502,3.760,-2.172866,nan
1g2k,1g2k_504,2.180,-1.840211,nan
1g2k,1g2k_516,6.050,-7.689884,nan
1g2k,1g2k_52,0.750,-1.169654,nan
1g2k,1g2k_520,6.860,-5.450084,nan
1g2k,1g2k_521,9.600,-8.560628,nan
1g2k,1g2k_530,6.580,-8.316173,nan
1g2k,1g2k_543,8.750,-8.517500,nan
1g2k,1g2k_546,7.100,-8.530108,nan
1g2k,1g2k_551,7.240,-6.738831,nan
1g2k,1g2k_556,3.600,-2.678029,nan
1g2k,1g2k_565,7.160,-8.551884,nan
1g2k,1g2k_566,5.770,-6.411124,nan
1g2k,1g2k_568,7.330,-8.569675,nan
1g2k,1g2k_569,7.530,-8.523686,nan
1g2k,1g2k_573,7.260,-6.077887,nan
1g2k,1g2k_582,9.060,-8.551296,nan
1g2k,1g2k_584,7.810,-7.746800,nan
1g2k,1g2k_588,9.100,-8.548028,nan
1g2k,1g2k_589,8.880,-8.557647,nan
1g2k,1g2k_590,6.200,-6.970475,nan
1g2k,1g2k_591,6.830,-6.018003,nan
1g2k,1g2k_592,7.320,-8.063213,nan
1g2k,1g2k_597,8.520,-8.561604,nan
1g2k,1g2k_598,6.380,-6.948474,nan
1g2k,1g2k_600,4.440,-5.075279,nan
1g2k,1g2k_606,9.930,-8.496796,nan
1g2k,1g2k_607,6.670,-7.686399,nan
1g2k,1g2k_610,3.300,-1.846041,nan
1g2k,1g2k_617,5.340,-2.256274,nan
1g2k,1g2k_621,3.890,-2.973769,nan
1g2k,1g2k_624,5.900,-3.904065,nan
1g2k,1g2k_625,6.120,-8.194528,nan
1g2k,1g2k_639,2.340,-2.512537,nan
1g2k,1g2k_640,9.370,-8.534947,nan
1g2k,1g2k_644,4.520,-3.260088,nan
1g2k,1g2k_645,2.990,-2.374221,nan
1g2k,1g2k_646,4.510,-2.518781,nan
1g2k,1g2k_649,6.600,-7.000275,nan
1g2k,1g2k_650,5.060,-6.584678,nan
1g2k,1g2k_652,4.450,-4.850708,nan
1g2k,1g2k_654,9.570,-8.558905,nan
