pdbid,pose,rmsd,head,pll
1bcu,1bcu_919,3.860,-2.111081,-2.252217
1bcu,1bcu_920,3.430,-2.785919,-3.935768
1bcu,1bcu_923,0.750,-1.444223,-2.053948
1bcu,1bcu_931,7.490,-7.307687,-3.868534
1bcu,1bcu_933,5.120,-4.195019,-2.979684
1bcu,1bcu_939,4.450,-3.589269,-2.762990
1bcu,1bcu_949,3.250,-3.085610,-3.491451
1bcu,1bcu_967,4.740,-3.597917,-2.499231
1bcu,1bcu_971,8.050,-8.015325,-4.521157
1bcu,1bcu_977,4.690,-3.524077,-3.569840
1bcu,1bcu_980,5.750,-5.339431,-4.213383
1bcu,1bcu_981,2.980,-2.086927,-4.219186
1bcu,1bcu_983,4.690,-4.012445,-3.315898
1bcu,1bcu_984,8.420,-6.868944,-4.257160
1bcu,1bcu_989,5.640,-5.406512,-2.985461
1bcu,1bcu_991,6.660,-6.462433,-3.469507
1bcu,1bcu_996,1.920,-1.544597,-2.591214
1bzc,1bzc_101,5.240,-2.887429,-3.233787
1bzc,1bzc_111,4.980,-3.062654,-4.131436
1bzc,1bzc_142,1.300,-1.491581,-3.499370
1bzc,1bzc_190,0.680,-1.574332,-3.676886
1bzc,1bzc_217,0.750,-1.622558,-3.973793
1bzc,1bzc_223,0.770,-1.337059,-3.978397
1bzc,1bzc_225,1.010,-1.597288,-4.015816
1bzc,1bzc_260,2.010,-1.522538,-4.618636
1bzc,1bzc_265,0.700,-1.793910,-3.508936
1bzc,1bzc_300,0.760,-1.238785,-3.723237
1bzc,1bzc_323,0.740,-1.441402,-4.012535
1bzc,1bzc_375,0.690,-1.597161,-3.997038
1bzc,1bzc_409,8.420,-3.188290,-3.022093
1bzc,1bzc_412,5.630,-4.076047,-4.663794
1bzc,1bzc_414,7.550,-1.888601,-2.691164
1bzc,1bzc_427,5.290,-3.539162,-3.976295
1bzc,1bzc_43,0.830,-1.295439,-3.855758
1bzc,1bzc_439,5.750,-3.839416,-4.266327
1bzc,1bzc_440,4.880,-3.387257,-4.221474
1bzc,1bzc_443,8.240,-4.637633,-3.928463
1bzc,1bzc_449,7.590,-2.094301,-3.505496
1bzc,1bzc_461,2.980,-2.240972,-4.063166
1bzc,1bzc_463,8.030,-3.040315,-2.960911
1bzc,1bzc_464,5.340,-3.199162,-4.088559
1bzc,1bzc_466,1.990,-2.636138,-4.216617
1bzc,1bzc_469,3.030,-1.941155,-3.734861
1bzc,1bzc_473,5.260,-2.983989,-3.637632
1bzc,1bzc_481,3.380,-2.481864,-3.408680
1bzc,1bzc_487,4.600,-2.312137,-3.944382
1bzc,1bzc_502,1.750,-2.150209,-4.233149
1bzc,1bzc_504,1.400,-2.132733,-4.136011
1bzc,1bzc_522,3.160,-1.525047,-3.992955
1bzc,1bzc_524,2.610,-1.895658,-3.880404
1bzc,1bzc_526,1.760,-2.332068,-4.054543
1bzc,1bzc_527,0.960,-1.976627,-3.750270
1bzc,1bzc_530,1.490,-1.882188,-4.010968
1bzc,1bzc_539,1.750,-3.269385,-4.015141
1bzc,1bzc_546,2.880,-2.029921,-4.166796
1bzc,1bzc_549,3.190,-2.555020,-4.302732
1bzc,1bzc_556,1.770,-2.414290,-3.808600
1bzc,1bzc_558,2.770,-2.876866,-4.720926
1bzc,1bzc_566,7.260,-1.672134,-3.172690
1bzc,1bzc_577,2.020,-2.071038,-4.276499
1bzc,1bzc_579,3.130,-2.647468,-4.500973
1bzc,1bzc_588,2.120,-3.022156,-3.942928
1bzc,1bzc_592,2.620,-3.950567,-4.176582
1bzc,1bzc_593,1.710,-2.328852,-4.170125
1bzc,1bzc_597,2.890,-2.312633,-4.092660
1bzc,1bzc_608,9.650,-6.064939,-3.584644
1bzc,1bzc_611,5.640,-3.604405,-3.573082
1bzc,1bzc_614,2.740,-4.119623,-4.416780
1bzc,1bzc_615,6.340,-7.132952,-3.506695
1bzc,1bzc_620,7.190,-7.988462,-3.522656
1bzc,1bzc_622,6.480,-4.800674,-3.008606
1bzc,1bzc_625,3.300,-3.856397,-4.090585
1bzc,1bzc_629,3.240,-4.067960,-4.414884
1bzc,1bzc_633,3.010,-3.931535,-4.437475
1bzc,1bzc_644,6.810,-6.026289,-3.211558
1bzc,1bzc_651,6.250,-3.854876,-3.668619
1bzc,1bzc_652,6.780,-4.629686,-2.783339
1bzc,1bzc_659,9.030,-6.353994,-3.028442
1bzc,1bzc_660,8.500,-7.278518,-3.280560
1bzc,1bzc_664,7.730,-4.599903,-2.919422
1bzc,1bzc_666,7.350,-3.041516,-2.764602
1bzc,1bzc_669,3.390,-2.461966,-3.640824
1bzc,1bzc_670,7.210,-6.477995,-2.917917
1bzc,1bzc_671,6.550,-5.786038,-2.690701
1bzc,1bzc_674,5.750,-2.543441,-3.849584
1bzc,1bzc_677,4.030,-2.808856,-3.753351
1bzc,1bzc_681,5.840,-6.527090,-3.681453
1bzc,1bzc_682,7.890,-7.144766,-2.809877
1bzc,1bzc_686,8.520,-5.727362,-3.423237
1bzc,1bzc_688,8.710,-4.084636,-3.473477
1bzc,1bzc_690,6.480,-5.702948,-3.308923
1bzc,1bzc_694,5.400,-3.892092,-3.968678
1bzc,1bzc_700,7.090,-5.011327,-4.231933
1bzc,1bzc_709,0.680,-1.512284,-4.055230
1bzc,1bzc_778,7.270,-1.775731,-2.576457
1bzc,1bzc_963,3.030,-1.374081,-3.781679
1c5z,1c5z_247,0.610,-0.465012,-3.223357
1c5z,1c5z_258,0.920,-1.100297,-3.208077
1c5z,1c5z_3,0.400,-0.418265,-4.117112
1c5z,1c5z_402,0.870,-0.314438,-0.777018
1c5z,1c5z_415,2.670,-2.173137,-1.251838
1c5z,1c5z_425,1.200,-1.728834,-1.902460
1c5z,1c5z_427,0.920,-1.277651,-1.571665
1c5z,1c5z_431,1.110,-1.008302,-1.918812
1c5z,1c5z_438,2.900,-1.840957,-0.820513
1c5z,1c5z_449,0.720,-1.339605,-1.804792
1c5z,1c5z_452,0.770,-0.533268,-1.010145
1c5z,1c5z_460,1.660,-1.694653,-1.729231
1c5z,1c5z_465,0.970,-1.371786,-1.660525
1c5z,1c5z_482,1.870,-1.614605,-2.049282
1c5z,1c5z_509,6.500,-6.027066,-2.074301
1c5z,1c5z_516,6.770,-5.537918,-1.825355
1c5z,1c5z_519,2.740,-2.050372,-1.398175
1c5z,1c5z_520,4.730,-4.409001,-1.507033
1c5z,1c5z_530,1.330,-1.062653,-0.797418
1c5z,1c5z_536,7.120,-6.279410,-1.958500
1c5z,1c5z_537,2.810,-0.941202,-1.093869
1c5z,1c5z_542,5.430,-4.288896,-1.744398
1c5z,1c5z_544,5.280,-5.088135,-1.048856
1c5z,1c5z_546,3.740,-2.528781,-1.040176
1c5z,1c5z_556,3.940,-2.919413,-1.036777
1c5z,1c5z_558,3.630,-2.224075,-1.230817
1c5z,1c5z_563,3.980,-3.828307,-1.761021
1c5z,1c5z_564,3.160,-1.696726,-1.199464
1c5z,1c5z_577,1.710,-1.492500,-1.378281
1c5z,1c5z_583,6.860,-5.530700,-2.323174
1c5z,1c5z_586,2.110,-1.503788,-0.915865
1c5z,1c5z_590,5.140,-4.840636,-1.316707
1c5z,1c5z_593,3.440,-2.996346,-1.408083
1c5z,1c5z_596,4.780,-3.816516,-1.513517
1c5z,1c5z_607,1.500,-1.441350,-1.417600
1c5z,1c5z_613,2.120,-2.436686,-1.993146
1c5z,1c5z_627,0.960,-0.979310,-1.454391
1c5z,1c5z_642,1.330,-1.117932,-1.826101
1c5z,1c5z_661,2.510,-1.503123,-0.971468
1c5z,1c5z_665,1.460,-1.485011,-1.108993
1c5z,1c5z_698,2.040,-1.786096,-1.836365
1c5z,1c5z_700,1.460,-1.896878,-1.645536
1c5z,1c5z_711,4.440,-3.078193,-1.889415
1c5z,1c5z_715,5.330,-3.902821,-0.654021
1c5z,1c5z_722,6.900,-6.147477,-1.748154
1c5z,1c5z_733,7.080,-6.072858,-2.222825
1c5z,1c5z_734,3.500,-3.527989,-2.359467
1c5z,1c5z_738,6.400,-4.966334,-1.570046
1c5z,1c5z_739,7.050,-6.342304,-1.891824
1c5z,1c5z_741,5.850,-5.000435,-2.676145
1c5z,1c5z_743,7.120,-5.834521,-2.857203
1c5z,1c5z_753,5.800,-5.509597,-1.547834
1c5z,1c5z_754,6.020,-5.296682,-2.035638
1c5z,1c5z_759,4.750,-4.399233,-0.925988
1c5z,1c5z_761,6.740,-5.952932,-1.619425
1c5z,1c5z_763,6.840,-5.715276,-1.774630
1c5z,1c5z_765,7.860,-6.253406,-2.103127
1c5z,1c5z_766,7.590,-6.219324,-2.517982
1c5z,1c5z_776,2.190,-2.086466,-1.434274
1c5z,1c5z_781,5.450,-4.455786,-2.476665
1c5z,1c5z_790,4.780,-3.722944,-1.265814
1c5z,1c5z_8,0.450,-0.495602,-2.840970
1c5z,1c5z_804,4.110,-3.418101,-1.595739
1c5z,1c5z_805,3.170,-2.398549,-1.949303
1c5z,1c5z_811,3.920,-3.521937,-1.417721
1c5z,1c5z_826,5.000,-4.417605,-2.063565
1c5z,1c5z_828,5.040,-4.644513,-1.725450
1c5z,1c5z_829,7.080,-6.044734,-2.938701
1c5z,1c5z_836,7.000,-6.296475,-1.742267
1c5z,1c5z_839,2.990,-3.190011,-1.367047
1c5z,1c5z_840,6.700,-5.548513,-3.030322
1c5z,1c5z_844,4.800,-4.671029,-1.744352
1c5z,1c5z_862,5.830,-4.712172,-2.471590
1c5z,1c5z_892,4.770,-3.576366,-2.034063
1c5z,1c5z_898,5.200,-4.020251,-1.175442
1c5z,1c5z_931,3.860,-2.932001,-1.050843
1c5z,1c5z_937,7.080,-6.001485,-3.150490
1c5z,1c5z_953,7.030,-5.549371,-3.479457
1c5z,1c5z_955,7.210,-6.292756,-2.644266
1c5z,1c5z_959,4.240,-4.329086,-2.359451
1e66,1e66_158,0.560,-0.425107,-4.291988
1e66,1e66_247,0.710,-0.738025,-3.811615
1e66,1e66_402,0.660,-0.612545,-4.628648
1e66,1e66_404,0.970,-0.492769,-4.235094
1e66,1e66_406,0.860,-0.700354,-4.471587
1e66,1e66_412,1.290,-1.339530,-3.881537
1e66,1e66_419,0.970,-0.852882,-5.011400
1e66,1e66_422,1.500,-1.284720,-5.138272
1e66,1e66_429,1.550,-1.831477,-5.054471
1e66,1e66_440,1.570,-1.663344,-5.205085
1e66,1e66_442,3.970,-3.083652,-5.441509
1e66,1e66_466,1.940,-1.413561,-5.034439
1e66,1e66_467,1.610,-1.464390,-4.985778
1e66,1e66_468,2.900,-2.748817,-4.334073
1e66,1e66_477,2.060,-2.259197,-4.679062
1e66,1e66_483,1.570,-1.845488,-4.775425
1e66,1e66_484,1.510,-1.640130,-5.277961
1e66,1e66_489,4.050,-3.799514,-5.329288
1e66,1e66_495,3.270,-2.921857,-5.055878
1e66,1e66_498,4.300,-3.336713,-5.753617
1e66,1e66_504,3.900,-3.772130,-5.366816
1e66,1e66_505,3.570,-3.218039,-5.733927
1e66,1e66_550,4.330,-4.332077,-5.809867
1e66,1e66_551,5.760,-4.224071,-5.537962
1e66,1e66_552,6.230,-5.761786,-6.421776
1e66,1e66_553,6.450,-5.774178,-6.752112
1e66,1e66_573,6.060,-2.600020,-5.562659
1e66,1e66_574,6.100,-5.131090,-4.807175
1e66,1e66_577,5.600,-5.263416,-6.564601
1e66,1e66_587,2.430,-2.487090,-4.530788
1e66,1e66_589,2.270,-1.814431,-4.831193
1e66,1e66_591,6.880,-6.563217,-6.424597
1e66,1e66_617,4.970,-3.883717,-6.171151
1e66,1e66_633,5.580,-4.839150,-6.907456
1e66,1e66_656,2.770,-3.535959,-4.962104
1e66,1e66_661,2.740,-2.743314,-5.118884
1e66,1e66_678,3.020,-3.053812,-5.222858
1e66,1e66_700,3.370,-3.187030,-4.510020
1e66,1e66_702,5.320,-4.127828,-5.122154
1e66,1e66_712,1.760,-1.299209,-4.138171
1e66,1e66_733,6.200,-6.345457,-6.398661
1e66,1e66_744,4.250,-3.936754,-5.482705
1e66,1e66_746,3.800,-3.333303,-5.452116
1e66,1e66_754,5.230,-3.766235,-4.658427
1e66,1e66_755,5.600,-3.044391,-5.046486
1e66,1e66_761,2.360,-2.749686,-4.672056
1e66,1e66_763,6.260,-3.838447,-6.148785
1e66,1e66_767,3.530,-3.189755,-4.243441
1e66,1e66_768,2.890,-2.344856,-4.574818
1e66,1e66_771,6.060,-2.919570,-5.752176
1e66,1e66_772,6.260,-4.606946,-6.124272
1e66,1e66_774,1.090,-0.938350,-4.224859
1e66,1e66_787,0.600,-0.326713,-4.389702
1e66,1e66_806,4.290,-4.240454,-5.907242
1e66,1e66_807,5.030,-5.111569,-6.429593
1e66,1e66_810,4.760,-4.273482,-6.267816
1e66,1e66_823,6.220,-4.671057,-6.451149
1e66,1e66_841,2.840,-2.345945,-4.192378
1e66,1e66_842,4.770,-3.545569,-5.012466
1e66,1e66_859,3.410,-3.154530,-4.755852
1e66,1e66_860,5.850,-2.590477,-5.014757
1e66,1e66_862,3.890,-3.832168,-4.816990
1e66,1e66_863,2.510,-2.003200,-3.907061
1e66,1e66_865,4.570,-3.811672,-4.865415
1e66,1e66_867,4.390,-3.670101,-5.346676
1e66,1e66_870,5.700,-4.685723,-6.863645
1e66,1e66_891,0.780,-0.458796,-4.003129
1e66,1e66_907,0.850,-1.065993,-4.969299
1e66,1e66_909,0.980,-0.687295,-4.042746
1e66,1e66_921,5.460,-4.025953,-4.738856
1eby,1eby_169,9.110,-8.083336,-4.674774
1eby,1eby_211,0.970,-0.648845,-3.776224
1eby,1eby_217,0.990,-1.093811,-3.917704
1eby,1eby_218,2.340,-1.302987,-3.483382
1eby,1eby_223,0.840,-0.868190,-4.013857
1eby,1eby_231,2.090,-1.655449,-3.962274
1eby,1eby_233,1.830,-1.112911,-3.530568
1eby,1eby_237,2.520,-1.666490,-4.417040
1eby,1eby_238,0.950,-1.227342,-3.703093
1eby,1eby_244,1.200,-0.975671,-3.831801
1eby,1eby_245,2.010,-1.551643,-4.366071
1eby,1eby_255,2.530,-1.722656,-3.583675
1eby,1eby_259,2.570,-2.247999,-4.479691
1eby,1eby_262,1.010,-1.181312,-4.367316
1eby,1eby_265,0.780,-1.097629,-3.313986
1eby,1eby_266,2.030,-1.585822,-3.725382
1eby,1eby_269,0.880,-0.845524,-3.799022
1eby,1eby_271,1.780,-1.156041,-3.944334
1eby,1eby_279,1.870,-1.355577,-4.362923
1eby,1eby_294,1.860,-1.648133,-4.093775
1eby,1eby_295,0.870,-1.038027,-3.930365
1eby,1eby_297,3.360,-1.254048,-3.963500
1eby,1eby_299,0.810,-1.034067,-3.396369
1eby,1eby_326,1.900,-0.865406,-3.908189
1eby,1eby_350,9.690,-8.299202,-4.547840
1eby,1eby_361,0.860,-0.749290,-3.510642
1eby,1eby_364,0.950,-0.553500,-3.701937
1eby,1eby_372,9.300,-8.158897,-4.131092
1eby,1eby_414,3.780,-3.223708,-4.808323
1eby,1eby_416,2.570,-3.046160,-4.176848
1eby,1eby_444,3.950,-3.835871,-4.769433
1eby,1eby_447,2.720,-2.679990,-3.991603
1eby,1eby_453,3.340,-2.587457,-3.987336
1eby,1eby_456,4.570,-4.188253,-4.650702
1eby,1eby_464,4.140,-3.210364,-4.884145
1eby,1eby_470,3.630,-3.483239,-4.527520
1eby,1eby_472,3.000,-2.757945,-3.654984
1eby,1eby_473,3.640,-3.135425,-4.468182
1eby,1eby_477,3.190,-3.158534,-4.310273
1eby,1eby_481,4.940,-3.492044,-4.534885
1eby,1eby_488,4.110,-3.569719,-4.687508
1eby,1eby_490,4.070,-4.570500,-4.953231
1eby,1eby_493,5.950,-4.456201,-4.458301
1eby,1eby_499,3.310,-4.589092,-4.968350
1eby,1eby_503,7.810,-6.898976,-4.098516
1eby,1eby_507,8.970,-8.297869,-4.008661
1eby,1eby_514,5.840,-6.727466,-4.172668
1eby,1eby_517,9.230,-8.319929,-4.767626
1eby,1eby_519,6.000,-4.868450,-5.167728
1eby,1eby_531,5.540,-3.931923,-4.996667
1eby,1eby_532,7.620,-8.204716,-5.075908
1eby,1eby_535,6.950,-6.305435,-4.741948
1eby,1eby_538,4.050,-3.888730,-4.175701
1eby,1eby_540,5.140,-3.805955,-4.533312
1eby,1eby_548,5.420,-6.160693,-4.041600
1eby,1eby_556,6.330,-5.477963,-4.328405
1eby,1eby_563,4.310,-5.614023,-4.140829
1eby,1eby_569,9.790,-8.283661,-4.166280
1eby,1eby_571,4.160,-3.032187,-4.133855
1eby,1eby_572,8.960,-7.762916,-4.816304
1eby,1eby_573,9.440,-7.906677,-4.332495
1eby,1eby_575,7.090,-6.874214,-3.985433
1eby,1eby_576,6.470,-6.745927,-4.621964
1eby,1eby_580,9.200,-8.137955,-4.716986
1eby,1eby_582,7.830,-6.071249,-4.574677
1eby,1eby_584,8.020,-7.506552,-4.671310
1eby,1eby_595,8.640,-8.341114,-4.405406
1eby,1eby_597,7.060,-7.571438,-4.351085
1eby,1eby_600,9.680,-8.220726,-4.109918
1eby,1eby_634,6.490,-7.270085,-5.201178
1eby,1eby_641,8.770,-8.282671,-5.029397
1eby,1eby_645,8.970,-8.269917,-5.242468
1eby,1eby_647,8.550,-7.958879,-4.678295
1eby,1eby_649,7.170,-7.447428,-4.654402
1eby,1eby_658,4.630,-3.358232,-3.956974
1eby,1eby_659,7.660,-5.932920,-4.717851
1eby,1eby_667,6.110,-4.296490,-5.194285
1eby,1eby_673,8.490,-8.170048,-5.119405
1eby,1eby_688,6.710,-4.718377,-4.585204
1eby,1eby_689,6.870,-7.008696,-4.480977
1eby,1eby_694,8.410,-8.337376,-5.284620
1eby,1eby_731,3.120,-1.922535,-3.329709
1eby,1eby_741,6.510,-5.349016,-3.891189
1eby,1eby_751,7.570,-7.921136,-4.003660
1eby,1eby_763,4.940,-3.780796,-3.818209
1eby,1eby_767,7.170,-7.123322,-4.607232
1eby,1eby_769,6.100,-5.293370,-4.550412
1eby,1eby_770,5.020,-4.040740,-3.661126
1eby,1eby_771,9.270,-8.311772,-3.959852
1eby,1eby_772,5.360,-4.712925,-3.806458
1eby,1eby_773,8.410,-8.226152,-3.851775
1eby,1eby_774,5.980,-2.635190,-4.192132
1eby,1eby_777,9.300,-8.320415,-4.300372
1eby,1eby_779,7.250,-5.979717,-4.720613
1eby,1eby_791,5.730,-5.456042,-3.955338
1eby,1eby_792,6.300,-6.347858,-4.978968
1eby,1eby_803,1.780,-1.162965,-3.781558
1eby,1eby_813,1.740,-0.758809,-3.892979
1eby,1eby_826,3.010,-2.095275,-3.693446
1eby,1eby_848,1.500,-1.112590,-3.741523
1g2k,1g2k_209,1.050,-1.217931,-2.829110
1g2k,1g2k_225,0.700,-1.216261,-3.005816
1g2k,1g2k_242,1.130,-1.402195,-3.401286
1g2k,1g2k_247,0.640,-0.905498,-3.016211
1g2k,1g2k_248,0.990,-1.266572,-3.270757
1g2k,1g2k_265,0.690,-0.939054,-3.186239
1g2k,1g2k_271,0.510,-0.990988,-2.999175
1g2k,1g2k_283,1.010,-1.355108,-2.979255
1g2k,1g2k_290,1.240,-1.060373,-2.752825
1g2k,1g2k_294,0.960,-0.975216,-3.285158
1g2k,1g2k_295,1.170,-1.431074,-2.875245
1g2k,1g2k_306,2.670,-1.119786,-2.693064
1g2k,1g2k_328,0.540,-0.774914,-2.787046
