pdbid,logka,cluster,vina_score
3b68,8.4,40,10.3550
3bgz,6.26,6,10.5320
3bv9,5.36,34,8.5120
3cj4,6.51,15,6.8330
3coy,6.02,28,10.2300
3coz,5.57,28,9.7310
3d4z,4.89,11,5.2830
3d6q,3.76,57,4.8550
3dd0,9.0,38,5.4850
3dx1,3.58,11,5.2000
3dx2,6.82,11,5.5240
3dxg,2.4,57,4.5850
3e5a,8.23,36,8.7570
3e92,8.0,22,12.5880
3e93,8.85,22,13.3340
3ebp,5.91,12,8.9840
3ehy,5.85,56,5.1200
3ejr,8.57,11,7.5990
3f3a,4.19,17,6.7850
3f3c,6.02,17,7.4760
3f3d,7.16,17,5.2440
3f3e,7.7,17,6.1350
3fcq,2.77,27,3.9070
3fur,8.0,35,11.0880
3fv1,9.3,43,9.6450
3fv2,8.11,43,9.6680
3g0w,9.52,40,10.0920
3g2n,4.09,12,8.7490
3g2z,2.36,42,4.4140
3g31,2.89,42,3.0830
3gbb,6.9,43,8.2910
3gc5,7.26,21,9.4510
3ge7,8.7,21,10.1430
3gnw,9.1,15,11.8300
3gr2,2.52,24,4.7850
3gv9,2.12,24,4.1650
3gy4,5.1,47,5.9440
3ivg,4.3,28,7.7160
3jvr,5.72,32,7.0470
3jvs,6.54,32,7.5190
3jya,6.89,6,7.4910
3k5v,6.3,7,8.8470
3kgp,2.57,37,4.2770
3kr8,8.1,49,11.3800
3kwa,4.08,38,2.5460
3l7b,2.4,12,8.5310
3lka,2.82,56,5.2670
3mss,4.66,7,5.9510
3myg,10.7,36,6.3220
3n76,6.85,53,10.2550
3n7a,3.7,53,7.1410
3n86,5.64,53,10.9250
3nq9,4.03,55,2.7700
3nw9,9.0,51,10.8890
3nx7,8.1,56,5.5010
3o9i,11.82,9,9.5960
3oe4,7.47,51,9.5650
3oe5,6.88,51,9.2770
3ozs,5.33,51,9.5050
3ozt,4.13,51,10.0960
3p5o,7.3,10,8.6210
3prs,7.82,2,8.6410
3pww,7.32,2,10.9120
3pxf,4.43,29,5.6850
3pyy,6.86,7,8.7710
3qgy,7.8,3,8.6990
3qqs,5.82,23,7.5480
3r88,4.82,23,5.1940
3rlr,7.52,39,8.6550
3rr4,4.55,21,7.7910
3rsx,4.41,19,7.0880
3ryj,7.8,38,5.8660
3syr,5.1,12,9.6300
3tsk,7.17,56,7.9390
3twp,3.92,23,4.3690
3u5j,5.61,10,8.7220
3u8k,8.66,8,6.5330
3u8n,10.17,8,6.6930
3u9q,4.38,35,4.3580
3udh,2.85,19,7.1140
3ueu,5.24,55,4.6810
3uev,5.89,55,5.0760
3uew,6.31,55,4.7330
3uex,6.92,55,5.2510
3ui7,9.0,1,7.9410
3uo4,6.52,36,9.8150
3up2,7.4,36,9.6050
3uri,9.0,2,7.1420
3utu,10.92,34,9.7620
3uuo,7.96,1,7.9110
3wtj,6.53,8,6.3240
3wz8,5.82,2,9.0020
3zdg,7.1,8,4.8720
3zso,5.12,52,8.0290
3zsx,3.28,52,7.3890
3zt2,2.84,52,9.3430
4abg,3.57,47,5.5250
4agn,3.97,5,5.3950
4agp,4.69,5,6.1190
4agq,5.01,5,6.3410
4bkt,3.62,54,6.0730
4cig,3.67,52,7.6070
4ciw,4.82,53,7.5290
4cr9,4.1,4,5.9660
4cra,7.22,4,9.7140
4crc,8.72,4,9.6900
4ddh,3.32,28,5.7850
4ddk,2.29,28,5.7290
4de1,5.96,42,8.1050
4de2,4.12,42,7.8570
4de3,5.52,42,8.3140
4djv,6.72,19,9.3640
4dld,5.82,43,7.1910
4dli,5.62,22,9.2530
4e5w,7.66,30,10.3240
4e6q,8.36,31,8.9200
4ea2,6.44,33,7.5840
4eky,3.52,12,8.4820
4eo8,8.15,15,7.5150
4eor,6.3,29,9.0540
4f09,6.7,31,8.2120
4f2w,11.3,46,8.7710
4f3c,11.82,46,8.6740
4f9w,6.94,22,10.7830
4gfm,7.22,31,7.3270
4gid,10.77,19,10.8050
4gkm,5.17,23,7.2850
4gr0,9.55,56,9.8280
4hge,7.92,31,8.9170
4ih5,4.11,15,5.5360
4ih7,5.24,15,7.0050
4ivb,8.72,30,9.3150
4ivc,10.0,30,9.3510
4ivd,9.52,30,8.5090
4j21,7.41,49,11.6660
4j28,5.7,20,6.0940
4j3l,7.8,49,10.7460
4jfs,5.27,20,6.1580
4jia,9.22,31,9.3820
4jsz,2.3,38,3.5670
4jxs,4.74,24,6.8840
4k18,8.96,6,8.8430
4k77,6.63,30,7.5630
4kz6,3.1,24,5.0970
4kzq,6.1,49,10.8040
4kzu,6.5,49,11.3450
4llx,2.89,1,5.1690
4lzs,4.8,10,6.3030
4m0y,6.46,3,7.2460
4m0z,5.19,3,10.5990
4mgd,4.69,44,7.7440
4mme,6.5,17,9.3920
4ogj,6.79,10,6.9200
4owm,2.96,23,4.6470
4pcs,7.85,20,6.8550
4qac,9.4,8,11.2770
4qd6,8.64,3,6.7300
4rfm,10.05,3,11.0860
4tmn,10.17,27,8.1090
4twp,10.0,7,8.3090
4ty7,9.52,4,9.6180
4u4s,2.92,41,5.4650
4w9c,4.65,54,7.3160
4w9h,6.73,54,7.9750
4w9i,5.96,54,8.1480
4w9l,5.02,54,7.9940
4wiv,6.26,10,7.6620
4x6p,8.3,4,10.5110
5a7b,3.57,5,6.3590
5aba,2.98,5,5.1870
5c28,5.66,1,5.8920
5c2h,11.09,1,10.0100
5dwr,11.22,6,10.5030
5tmn,8.04,27,7.1390
