pdbid,logka,cluster,pll,head
3bgz,6.26,6,-3.427596,6.356730
3bv9,5.36,34,-3.671499,6.940741
3cj4,6.51,15,-2.603386,6.125906
3coy,6.02,28,-5.340023,7.918965
3coz,5.57,28,-2.725665,6.693196
3d4z,4.89,11,-5.585110,5.313385
3d6q,3.76,57,-4.126076,5.921622
3dd0,9.0,38,-3.958705,8.784364
3dx1,3.58,11,-3.622493,6.243960
3dx2,6.82,11,-3.334292,6.910960
3dxg,2.4,57,-2.794743,4.811797
3e5a,8.23,36,-1.693904,8.621696
3e92,8.0,22,-2.061293,8.383535
3e93,8.85,22,-2.315494,8.065144
3ebp,5.91,12,-1.699214,6.489976
3ehy,5.85,56,-1.855377,6.646389
3ejr,8.57,11,-2.751088,6.457953
3f3a,4.19,17,-3.168816,5.792003
3f3c,6.02,17,-2.958075,4.902940
3f3d,7.16,17,-3.727170,4.851041
3f3e,7.7,17,-3.974216,4.671464
3fcq,2.77,27,-3.386760,5.049216
3fur,8.0,35,-1.705079,7.407126
3fv1,9.3,43,-4.486098,8.056194
3fv2,8.11,43,-3.799939,5.745539
3g0w,9.52,40,-3.555568,9.044172
3g2n,4.09,12,-0.972361,4.645404
3g2z,2.36,42,-2.796779,2.889212
3g31,2.89,42,-5.303399,5.329558
3gbb,6.9,43,-5.187659,6.462801
3gc5,7.26,21,-3.268624,7.394485
3ge7,8.7,21,-3.369896,7.953754
3gnw,9.1,15,-1.746427,8.472083
3gr2,2.52,24,-3.207236,3.719408
3gv9,2.12,24,-3.549585,4.059328
3gy4,5.1,47,-2.443470,4.431007
3ivg,4.3,28,-7.450369,6.671439
3jvr,5.72,32,-4.857114,4.730950
3jvs,6.54,32,-5.468484,6.056303
3jya,6.89,6,-3.482067,6.875318
3k5v,6.3,7,-1.042557,6.719813
3kgp,2.57,37,-5.115887,3.240717
3kr8,8.1,49,-3.404256,7.838767
3kwa,4.08,38,-4.217130,6.646095
3l7b,2.4,12,-4.502583,3.954247
3lka,2.82,56,-6.485655,5.035980
3mss,4.66,7,-1.789417,5.586488
3myg,10.7,36,-8.156132,7.630809
3n76,6.85,53,-3.635079,5.956843
3n7a,3.7,53,-6.273830,6.637316
3n86,5.64,53,-6.305190,5.772727
3nq9,4.03,55,-4.045794,3.586883
3nw9,9.0,51,-4.481995,7.305195
3nx7,8.1,56,-1.259087,8.256354
3o9i,11.82,9,-2.384386,9.575619
3oe4,7.47,51,-4.590539,7.037185
3oe5,6.88,51,-4.237862,6.739821
3ozs,5.33,51,-5.625400,6.741100
3ozt,4.13,51,-4.631262,6.800824
3p5o,7.3,10,-2.366182,7.935922
3prs,7.82,2,-3.683341,7.228685
3pww,7.32,2,-3.476827,7.422763
3pxf,4.43,29,-2.090596,4.423905
3pyy,6.86,7,-4.482595,6.866446
3qgy,7.8,3,-2.842345,7.419532
3qqs,5.82,23,-4.854659,5.470525
3r88,4.82,23,-6.261862,5.109099
3rlr,7.52,39,-6.653643,8.288065
3rr4,4.55,21,-3.971403,6.972446
3rsx,4.41,19,-4.908297,5.254701
3ryj,7.8,38,-5.597696,7.786773
3syr,5.1,12,-3.154288,4.800837
3tsk,7.17,56,-4.350531,7.376944
3twp,3.92,23,-2.096574,4.425250
3u5j,5.61,10,-1.578348,5.980460
3u8k,8.66,8,-2.070588,5.771852
3u8n,10.17,8,-3.162704,7.862358
3u9q,4.38,35,-3.341273,4.620127
3udh,2.85,19,-5.674595,4.736737
3ueu,5.24,55,-3.926730,6.669233
3uev,5.89,55,-3.025455,6.661313
3uew,6.31,55,-2.542603,7.022983
3uex,6.92,55,-2.627438,7.382545
3ui7,9.0,1,-5.068905,7.763945
3uo4,6.52,36,-2.753552,6.378485
3up2,7.4,36,-3.170458,7.065514
3uri,9.0,2,-3.123786,6.581419
3utu,10.92,34,-4.320672,8.819339
3uuo,7.96,1,-5.139883,6.340105
3wtj,6.53,8,-2.323524,6.337801
3wz8,5.82,2,-1.305226,6.812512
3zdg,7.1,8,-7.026458,5.195035
3zso,5.12,52,-7.212714,8.450749
3zsx,3.28,52,-6.324023,7.271546
3zt2,2.84,52,-6.475638,5.475549
4abg,3.57,47,-3.890009,4.418171
4agn,3.97,5,-6.282895,5.501166
4agp,4.69,5,-6.665825,5.716975
4agq,5.01,5,-8.119246,6.032955
4bkt,3.62,54,-4.290001,5.747653
4cig,3.67,52,-6.852883,8.404431
4ciw,4.82,53,-4.520326,7.102757
4cr9,4.1,4,-1.188721,4.714099
4cra,7.22,4,-2.425404,8.259245
4crc,8.72,4,-1.280619,8.548845
4ddh,3.32,28,-3.062222,5.042937
4ddk,2.29,28,-2.137670,3.721804
4de1,5.96,42,-1.303850,5.621152
4de2,4.12,42,-1.855236,5.685287
4de3,5.52,42,-1.360898,4.743214
4djv,6.72,19,-2.159187,7.998102
4dld,5.82,43,-6.998462,6.429912
4dli,5.62,22,-5.250622,5.497403
4e5w,7.66,30,-3.228459,7.850118
4e6q,8.36,31,-1.254033,8.014929
4ea2,6.44,33,-6.055771,7.013094
4eky,3.52,12,-3.781474,5.296321
4eo8,8.15,15,-4.659021,6.673002
4eor,6.3,29,-3.374951,7.819633
4f09,6.7,31,-1.013159,6.778259
4f2w,11.3,46,-2.867839,9.038426
4f3c,11.82,46,-5.004621,9.541935
4f9w,6.94,22,-1.307774,7.891391
4gfm,7.22,31,-6.205685,7.147499
4gid,10.77,19,-1.645828,8.692051
4gkm,5.17,23,-2.527688,4.615921
4gr0,9.55,56,-3.366644,9.152358
4hge,7.92,31,-7.477709,8.045837
4ih5,4.11,15,-5.084046,5.703965
4ih7,5.24,15,-1.634644,5.193071
4ivb,8.72,30,-1.299648,7.812511
4ivc,10.0,30,-1.033300,8.140093
4ivd,9.52,30,-1.363641,7.806815
4j21,7.41,49,-5.188590,6.511422
4j28,5.7,20,-2.395719,7.845673
4j3l,7.8,49,-4.438271,7.115875
4jfs,5.27,20,-1.747273,7.707272
4jia,9.22,31,-2.064988,7.973721
4jsz,2.3,38,-1.841828,5.653991
4jxs,4.74,24,-2.478175,5.142483
4k18,8.96,6,-1.151605,7.974813
4k77,6.63,30,-1.251885,6.321908
4kz6,3.1,24,-3.942613,5.109567
4kzq,6.1,49,-1.170781,5.615539
4kzu,6.5,49,-1.127565,5.270160
4llx,2.89,1,-1.888474,4.085545
4lzs,4.8,10,-4.257982,5.885521
4m0y,6.46,3,-0.828157,6.591807
4m0z,5.19,3,-1.150675,6.502846
4mgd,4.69,44,-1.241431,7.774371
4mme,6.5,17,-1.577155,6.184811
4ogj,6.79,10,-1.783953,7.619809
4owm,2.96,23,-2.170856,4.165101
4pcs,7.85,20,-3.033225,7.170917
4qac,9.4,8,-1.882930,7.814854
4qd6,8.64,3,-2.694567,7.411807
4rfm,10.05,3,-2.559550,8.706863
4tmn,10.17,27,-2.463318,7.573898
4twp,10.0,7,-1.944818,8.352987
4ty7,9.52,4,-6.885618,8.879964
4u4s,2.92,41,-7.087797,6.097508
4w9c,4.65,54,-1.381660,5.175384
4w9h,6.73,54,-0.955364,5.681930
4w9i,5.96,54,-1.320362,6.129555
4w9l,5.02,54,-0.877287,6.725732
4wiv,6.26,10,-7.170680,6.497045
4x6p,8.3,4,-5.275592,8.864980
5a7b,3.57,5,-7.209920,5.739345
5aba,2.98,5,-6.718907,5.052070
5c28,5.66,1,-6.918720,5.419069
5c2h,11.09,1,-5.607960,8.523346
5dwr,11.22,6,-2.794229,8.273084
5tmn,8.04,27,-2.199720,7.021956
