pdbid,logka,cluster,pll,head
3acw,4.76,33,-4.388299,7.028042
3ag9,8.05,26,-3.777520,6.784937
3ao4,2.07,52,-1.807621,5.751583
3arp,7.15,14,-4.071358,7.944903
3arq,6.4,14,-2.810410,7.151864
3aru,3.22,14,-1.590438,5.589229
3arv,5.64,14,-5.556257,7.317974
3ary,6.0,14,-3.156641,6.470404
3b1m,8.48,35,-3.462616,6.948886
3b27,5.16,39,-1.537760,6.155275
3b5r,8.77,40,-1.355640,6.749477
3b65,9.27,40,-1.847018,7.048599
3b68,8.4,40,-1.861411,6.201378
3bgz,6.26,6,-3.430060,6.838715
3bv9,5.36,34,-3.671499,7.831821
3cj4,6.51,15,-2.603386,6.307515
3coy,6.02,28,-5.340023,8.089313
3coz,5.57,28,-2.725665,6.477442
3d4z,4.89,11,-5.585110,6.224917
3d6q,3.76,57,-4.126076,5.041543
3dd0,9.0,38,-3.958705,9.104051
3dx1,3.58,11,-3.622493,6.724735
3dx2,6.82,11,-3.334292,6.039488
3dxg,2.4,57,-2.794743,4.908907
3e5a,8.23,36,-1.693904,8.022650
3e92,8.0,22,-2.058555,7.667635
3e93,8.85,22,-2.418151,8.444380
3ebp,5.91,12,-1.699214,6.324731
3ehy,5.85,56,-1.855377,6.829514
3ejr,8.57,11,-2.751088,6.824597
3f3a,4.19,17,-3.168816,5.278193
3f3c,6.02,17,-2.937167,4.639167
3f3d,7.16,17,-3.727170,6.001410
3f3e,7.7,17,-3.974216,5.214057
3fcq,2.77,27,-3.387171,4.911346
3fur,8.0,35,-1.705079,7.724421
3fv1,9.3,43,-4.482090,7.303551
3fv2,8.11,43,-3.799939,6.600672
3g0w,9.52,40,-3.555568,8.534253
3g2n,4.09,12,-0.972361,4.396841
3g2z,2.36,42,-2.796779,3.398045
3g31,2.89,42,-5.303192,5.866933
3gbb,6.9,43,-5.187659,6.426831
3gc5,7.26,21,-3.268624,7.052763
3ge7,8.7,21,-3.369896,7.539968
3gnw,9.1,15,-1.746427,8.231359
3gr2,2.52,24,-3.207236,4.219008
3gv9,2.12,24,-3.549585,4.205705
3gy4,5.1,47,-2.443309,4.567350
3ivg,4.3,28,-7.450369,5.898306
3jvr,5.72,32,-4.857114,5.298153
3jvs,6.54,32,-5.551321,5.983960
3jya,6.89,6,-3.482067,6.854606
3k5v,6.3,7,-1.042557,6.580140
3kgp,2.57,37,-5.115887,2.968468
3kr8,8.1,49,-3.404256,7.040493
3kwa,4.08,38,-4.217130,6.640475
3l7b,2.4,12,-4.502583,3.794722
3lka,2.82,56,-6.485655,3.580748
3mss,4.66,7,-1.788782,5.066950
3myg,10.7,36,-8.156132,7.325175
3n76,6.85,53,-3.533119,5.754531
3n7a,3.7,53,-6.273830,4.286332
3n86,5.64,53,-6.205825,6.082745
3nq9,4.03,55,-4.045794,4.985633
3nw9,9.0,51,-4.481995,7.247328
3nx7,8.1,56,-1.259087,7.646186
3o9i,11.82,9,-2.384386,8.656314
3oe4,7.47,51,-4.590539,7.225311
3oe5,6.88,51,-4.303234,6.597178
3ozs,5.33,51,-5.625400,6.909120
3ozt,4.13,51,-4.631262,6.618903
3p5o,7.3,10,-2.366182,6.564373
3prs,7.82,2,-3.677548,6.529966
3pww,7.32,2,-3.476827,6.767213
3pxf,4.43,29,-2.090596,4.303501
3pyy,6.86,7,-4.482595,6.188922
3qgy,7.8,3,-3.034625,8.186054
3qqs,5.82,23,-4.854659,4.825089
3r88,4.82,23,-6.261862,4.766708
3rlr,7.52,39,-6.653643,7.817048
3rr4,4.55,21,-3.955724,7.202897
3rsx,4.41,19,-4.908297,5.023306
3ryj,7.8,38,-5.597696,8.626506
3syr,5.1,12,-3.154288,4.213758
3tsk,7.17,56,-4.350531,7.947827
3twp,3.92,23,-2.096130,3.685341
3u5j,5.61,10,-1.578348,5.129316
3u8k,8.66,8,-2.021620,6.303145
3u8n,10.17,8,-3.162704,6.534717
3u9q,4.38,35,-3.341273,4.033390
3udh,2.85,19,-5.674595,3.764700
3ueu,5.24,55,-3.926730,6.733458
3uev,5.89,55,-3.025455,6.919743
3uew,6.31,55,-2.542603,7.519257
3uex,6.92,55,-2.627438,7.285499
3ui7,9.0,1,-5.068905,7.466071
3uo4,6.52,36,-2.753552,7.525904
3up2,7.4,36,-3.170458,7.854563
3uri,9.0,2,-3.123779,7.218557
3utu,10.92,34,-4.320672,7.456266
3uuo,7.96,1,-5.139883,6.778882
3wtj,6.53,8,-2.323524,6.911143
3wz8,5.82,2,-1.304880,6.777764
3zdg,7.1,8,-7.026458,5.537065
3zso,5.12,52,-7.212714,6.783919
3zsx,3.28,52,-6.324023,6.829123
3zt2,2.84,52,-6.475638,5.187502
4abg,3.57,47,-3.890009,4.112825
4agn,3.97,5,-6.282895,4.573884
4agp,4.69,5,-6.665825,5.165724
4agq,5.01,5,-8.119246,5.395285
4bkt,3.62,54,-4.290001,5.746849
4cig,3.67,52,-6.852883,6.440458
4ciw,4.82,53,-4.502977,5.580007
4cr9,4.1,4,-1.188721,4.154300
4cra,7.22,4,-2.425404,8.734131
4crc,8.72,4,-1.280619,8.999196
4ddh,3.32,28,-3.063133,5.120452
4ddk,2.29,28,-2.137670,3.696140
4de1,5.96,42,-1.303850,4.934009
4de2,4.12,42,-1.855236,5.199770
4de3,5.52,42,-1.360898,5.255743
4djv,6.72,19,-2.159187,6.506256
4dld,5.82,43,-6.998462,8.154171
4dli,5.62,22,-5.250622,5.839895
4e5w,7.66,30,-3.228459,8.031497
4e6q,8.36,31,-1.254033,7.834125
4ea2,6.44,33,-6.055911,7.090821
4eky,3.52,12,-3.781474,4.480936
4eo8,8.15,15,-4.659021,6.809011
4eor,6.3,29,-3.380709,7.704719
4f09,6.7,31,-1.013159,7.551400
4f2w,11.3,46,-2.867839,10.210262
4f3c,11.82,46,-5.004621,10.078497
4f9w,6.94,22,-1.307774,7.389525
4gfm,7.22,31,-6.205685,6.423567
4gid,10.77,19,-1.647929,7.763330
4gkm,5.17,23,-2.527688,4.502202
4gr0,9.55,56,-3.366644,8.615793
4hge,7.92,31,-7.586298,8.137230
4ih5,4.11,15,-5.084046,5.582704
4ih7,5.24,15,-1.620600,6.037743
4ivb,8.72,30,-1.298108,7.248199
4ivc,10.0,30,-1.006658,7.528695
4ivd,9.52,30,-1.363641,7.976379
4j21,7.41,49,-5.182625,5.738405
4j28,5.7,20,-2.395719,6.580394
4j3l,7.8,49,-4.438271,7.022922
4jfs,5.27,20,-1.747273,6.317504
4jia,9.22,31,-2.064988,8.232756
4jsz,2.3,38,-1.841828,5.756569
4jxs,4.74,24,-2.481031,5.453510
4k18,8.96,6,-1.358248,8.521814
4k77,6.63,30,-1.249697,6.597697
4kz6,3.1,24,-3.942613,4.411592
4kzq,6.1,49,-1.170781,6.167949
4kzu,6.5,49,-1.127565,6.906590
4llx,2.89,1,-1.888474,3.847266
4lzs,4.8,10,-4.257982,4.671547
4m0y,6.46,3,-0.828157,6.765087
4m0z,5.19,3,-1.150675,6.784751
4mgd,4.69,44,-1.241431,6.849185
4mme,6.5,17,-1.577155,7.293016
4ogj,6.79,10,-1.783953,6.206526
4owm,2.96,23,-2.170856,3.466232
4pcs,7.85,20,-3.033225,6.433684
4qac,9.4,8,-1.882930,8.024962
4qd6,8.64,3,-2.694567,7.587075
4rfm,10.05,3,-2.559550,8.466945
4tmn,10.17,27,-2.463318,6.937850
4twp,10.0,7,-1.944818,8.302831
4ty7,9.52,4,-6.885618,8.467441
4u4s,2.92,41,-7.087797,5.694252
4w9c,4.65,54,-1.381660,5.160863
4w9h,6.73,54,-0.955364,6.635748
4w9i,5.96,54,-1.320362,5.411223
4w9l,5.02,54,-0.877287,6.855846
4wiv,6.26,10,-7.170680,6.894065
4x6p,8.3,4,-5.271986,9.236950
5a7b,3.57,5,-7.209920,5.334607
5aba,2.98,5,-6.718907,5.826186
5c28,5.66,1,-6.918720,5.150966
5c2h,11.09,1,-5.607960,8.658442
5dwr,11.22,6,-2.794229,8.872226
5tmn,8.04,27,-2.199720,6.423961
