pdbid,logka,cluster,pll,head
3rr4,4.55,21,-3.971403,7.123812
3rsx,4.41,19,-4.908297,5.257757
3ryj,7.8,38,-5.597696,7.907679
3syr,5.1,12,-3.154288,4.520036
3tsk,7.17,56,-4.350531,8.053534
3twp,3.92,23,-2.096574,3.797705
3u5j,5.61,10,-1.578348,6.420345
3u8k,8.66,8,-2.070588,6.769025
3u8n,10.17,8,-3.162704,7.625052
3u9q,4.38,35,-3.341273,4.789392
3udh,2.85,19,-5.674595,3.663577
3ueu,5.24,55,-3.926730,7.417391
3uev,5.89,55,-3.025455,6.768636
3uew,6.31,55,-2.542603,7.677330
3uex,6.92,55,-2.627438,7.645981
3ui7,9.0,1,-5.068905,8.485405
3uo4,6.52,36,-2.753552,7.127142
3up2,7.4,36,-3.170458,7.685699
3uri,9.0,2,-3.123786,7.266643
3utu,10.92,34,-4.320672,7.777511
3uuo,7.96,1,-5.139883,7.110676
3wtj,6.53,8,-2.323524,7.540867
3wz8,5.82,2,-1.305226,7.527311
3zdg,7.1,8,-7.026458,5.709882
3zso,5.12,52,-7.212714,7.165652
3zsx,3.28,52,-6.324023,6.837042
3zt2,2.84,52,-6.475638,6.470693
4abg,3.57,47,-3.890009,4.846373
4agn,3.97,5,-6.282895,4.945735
4agp,4.69,5,-6.665825,5.446176
4agq,5.01,5,-8.119246,5.590018
4bkt,3.62,54,-4.290001,5.741972
4cig,3.67,52,-6.852883,7.390471
4ciw,4.82,53,-4.520326,7.610393
4cr9,4.1,4,-1.188721,4.468517
4cra,7.22,4,-2.425404,8.699020
4crc,8.72,4,-1.280619,8.375919
4ddh,3.32,28,-3.062222,4.305208
4ddk,2.29,28,-2.137670,3.842235
4de1,5.96,42,-1.303850,5.184986
4de2,4.12,42,-1.855236,5.857249
4de3,5.52,42,-1.360898,4.865711
4djv,6.72,19,-2.159187,7.134941
4dld,5.82,43,-6.998462,7.870302
4dli,5.62,22,-5.250622,5.794199
4e5w,7.66,30,-3.228459,8.233631
4e6q,8.36,31,-1.254033,8.036901
4ea2,6.44,33,-6.055771,6.901993
4eky,3.52,12,-3.781474,4.936450
4eo8,8.15,15,-4.659021,8.127930
4eor,6.3,29,-3.374951,7.942631
4f09,6.7,31,-1.013159,7.992386
4f2w,11.3,46,-2.867839,10.254023
4f3c,11.82,46,-5.004621,9.990630
4f9w,6.94,22,-1.307774,7.172900
4gfm,7.22,31,-6.205685,6.956893
4gid,10.77,19,-1.645828,8.520597
4gkm,5.17,23,-2.527688,5.605402
4gr0,9.55,56,-3.366644,9.671932
4hge,7.92,31,-7.477709,8.645859
4ih5,4.11,15,-5.084046,4.845332
4ih7,5.24,15,-1.634644,5.505482
4ivb,8.72,30,-1.299648,8.557025
4ivc,10.0,30,-1.033300,7.510342
4ivd,9.52,30,-1.363641,8.155995
4j21,7.41,49,-5.188590,7.014017
4j28,5.7,20,-2.395719,6.791906
4j3l,7.8,49,-4.438271,7.836712
4jfs,5.27,20,-1.747273,6.823439
4jia,9.22,31,-2.064988,8.142785
4jsz,2.3,38,-1.841828,6.197005
4jxs,4.74,24,-2.478175,5.554659
4k18,8.96,6,-1.151605,8.491478
4k77,6.63,30,-1.251885,7.626812
4kz6,3.1,24,-3.942613,5.021587
4kzq,6.1,49,-1.170781,6.468976
4kzu,6.5,49,-1.127565,6.453886
4llx,2.89,1,-1.888474,3.408726
4lzs,4.8,10,-4.257982,5.259823
4m0y,6.46,3,-0.828157,6.566106
4m0z,5.19,3,-1.150675,6.940225
4mgd,4.69,44,-1.241431,7.435256
4mme,6.5,17,-1.577155,7.251672
4ogj,6.79,10,-1.783953,6.932959
4owm,2.96,23,-2.170856,3.925362
4pcs,7.85,20,-3.033225,7.202790
4qac,9.4,8,-1.882930,7.860828
4qd6,8.64,3,-2.694567,7.105938
4rfm,10.05,3,-2.559550,8.489377
4tmn,10.17,27,-2.463318,6.945534
4twp,10.0,7,-1.944818,7.941878
4ty7,9.52,4,-6.885618,8.519347
4u4s,2.92,41,-7.087797,6.148128
4w9c,4.65,54,-1.381660,5.424216
4w9h,6.73,54,-0.955364,6.793868
4w9i,5.96,54,-1.320362,6.231815
4w9l,5.02,54,-0.877287,7.429508
4wiv,6.26,10,-7.170680,6.953904
4x6p,8.3,4,-5.275592,9.099822
5a7b,3.57,5,-7.209920,5.634001
5aba,2.98,5,-6.718907,5.964538
5c28,5.66,1,-6.918720,5.352360
5c2h,11.09,1,-5.607960,9.714839
5dwr,11.22,6,-2.794229,9.565363
5tmn,8.04,27,-2.199720,6.104597
