pdbid,logka,cluster,pll,head
2vw5,8.52,48,-2.088990,7.211270
2w4x,4.85,13,-2.357922,6.267578
2w66,4.05,13,-2.378788,5.891564
2wbg,4.45,18,-2.059235,6.136301
2wca,5.6,13,-1.696610,6.433913
2weg,6.5,38,-2.309166,7.044171
2wer,7.05,48,-2.273111,8.425896
2wn9,8.52,50,-1.967331,5.929982
2wnc,6.32,50,-6.616575,5.892718
2wtv,8.74,36,-3.785450,8.170983
2wvt,6.12,20,-2.050495,5.432000
2x00,11.33,50,-4.349456,7.587581
2xb8,7.59,53,-2.760467,6.475664
2xbv,8.43,45,-4.176909,8.629910
2xdl,3.1,39,-4.515340,6.816051
2xii,7.2,20,-1.567783,6.276393
2xj7,6.66,13,-3.265885,5.754003
2xnb,6.83,29,-1.602366,6.703289
2xys,7.42,50,-1.902649,7.843451
2y5h,5.79,45,-3.925493,7.730384
2yfe,6.63,35,-2.652377,7.094381
2yge,5.06,48,-3.632367,7.496471
2yki,9.46,39,-6.236409,8.162086
2ymd,3.16,50,-1.305574,6.833267
2zb1,6.32,22,-1.692300,7.269797
2zcq,8.82,33,-3.090714,6.850664
2zcr,6.87,33,-2.816514,7.504423
2zda,8.4,34,-3.537186,7.801991
2zy1,7.4,33,-2.430278,6.962178
3acw,4.76,33,-4.388300,7.049171
3ag9,8.05,26,-3.768943,5.660779
3ao4,2.07,52,-1.807621,5.820905
3arp,7.15,14,-4.071358,7.332292
3arq,6.4,14,-2.810410,7.007735
3aru,3.22,14,-1.590438,5.636117
3arv,5.64,14,-5.556257,6.537532
3ary,6.0,14,-3.156641,6.084908
3b1m,8.48,35,-3.462616,7.676635
3b27,5.16,39,-1.537760,6.738360
3b5r,8.77,40,-1.355640,7.384315
3b65,9.27,40,-1.847018,7.165559
3b68,8.4,40,-1.714021,7.273416
3bgz,6.26,6,-3.427596,6.529865
3bv9,5.36,34,-3.671499,6.723007
3cj4,6.51,15,-2.603386,6.139941
3coy,6.02,28,-5.340023,7.364201
3coz,5.57,28,-2.725665,7.014172
3d4z,4.89,11,-5.585110,6.329732
3d6q,3.76,57,-4.126076,5.944112
3dd0,9.0,38,-3.958705,8.944471
3dx1,3.58,11,-3.622493,6.103959
3dx2,6.82,11,-3.334292,6.899229
3dxg,2.4,57,-2.794743,5.600771
3e5a,8.23,36,-1.693904,8.440357
3e92,8.0,22,-2.061293,8.310068
3e93,8.85,22,-2.315494,8.158802
3ebp,5.91,12,-1.699214,6.765556
3ehy,5.85,56,-1.855377,6.590405
3ejr,8.57,11,-2.751088,7.384840
3f3a,4.19,17,-3.168816,4.692730
3f3c,6.02,17,-2.958075,5.478532
3f3d,7.16,17,-3.727170,5.569440
3f3e,7.7,17,-3.974216,5.797322
3fcq,2.77,27,-3.386760,5.122797
3fur,8.0,35,-1.705079,8.523253
3fv1,9.3,43,-4.486098,9.148253
3fv2,8.11,43,-3.799939,6.733298
3g0w,9.52,40,-3.555568,9.268923
3g2n,4.09,12,-0.972361,4.354324
3g2z,2.36,42,-2.796779,4.093338
3g31,2.89,42,-5.303399,6.482183
3gbb,6.9,43,-5.187659,7.295378
3gc5,7.26,21,-3.268624,7.983417
3ge7,8.7,21,-3.369896,7.975160
3gnw,9.1,15,-1.746427,9.542542
3gr2,2.52,24,-3.207236,3.706589
3gv9,2.12,24,-3.549585,3.900817
3gy4,5.1,47,-2.443470,5.364071
3ivg,4.3,28,-7.450369,6.492908
3jvr,5.72,32,-4.857114,5.668143
3jvs,6.54,32,-5.468484,6.650668
3jya,6.89,6,-3.482067,7.277205
3k5v,6.3,7,-1.042557,7.579064
3kgp,2.57,37,-5.115887,3.147140
3kr8,8.1,49,-3.404256,8.155902
3kwa,4.08,38,-4.217130,6.646851
3l7b,2.4,12,-4.502583,3.983102
3lka,2.82,56,-6.485655,4.687029
3mss,4.66,7,-1.789417,5.671231
3myg,10.7,36,-8.156132,7.939570
3n76,6.85,53,-3.635079,7.200133
3n7a,3.7,53,-6.273830,5.818867
3n86,5.64,53,-6.305190,6.685691
3nq9,4.03,55,-4.045794,3.904249
3nw9,9.0,51,-4.481995,7.575239
3nx7,8.1,56,-1.259087,7.833925
3o9i,11.82,9,-2.384386,9.467615
3oe4,7.47,51,-4.590539,6.801901
3oe5,6.88,51,-4.237862,6.449558
3ozs,5.33,51,-5.625400,7.032804
3ozt,4.13,51,-4.631262,6.500968
3p5o,7.3,10,-2.366182,7.175033
3prs,7.82,2,-3.683341,6.098951
3pww,7.32,2,-3.476827,6.648678
3pxf,4.43,29,-2.090596,5.223852
3pyy,6.86,7,-4.482595,7.270665
3qgy,7.8,3,-2.842345,7.796519
3qqs,5.82,23,-4.854659,5.167969
3r88,4.82,23,-6.261862,4.758178
3rlr,7.52,39,-6.653643,8.471643
3rr4,4.55,21,-3.971403,6.775877
3rsx,4.41,19,-4.908297,5.765923
3ryj,7.8,38,-5.597696,7.889667
3syr,5.1,12,-3.154288,5.029438
3tsk,7.17,56,-4.350531,8.260895
3twp,3.92,23,-2.096574,4.125277
3u5j,5.61,10,-1.578348,6.538887
3u8k,8.66,8,-2.070588,7.192180
3u8n,10.17,8,-3.162704,9.726768
3u9q,4.38,35,-3.341273,4.578220
3udh,2.85,19,-5.674595,4.449381
3ueu,5.24,55,-3.926730,6.521242
3uev,5.89,55,-3.025455,6.965312
3uew,6.31,55,-2.542603,7.068283
3uex,6.92,55,-2.627438,7.480633
3ui7,9.0,1,-5.068905,7.825821
3uo4,6.52,36,-2.753552,7.318555
3up2,7.4,36,-3.170458,6.870612
3uri,9.0,2,-3.123786,6.017323
3utu,10.92,34,-4.320672,8.561480
3uuo,7.96,1,-5.139883,5.977759
3wtj,6.53,8,-2.323524,7.342699
3wz8,5.82,2,-1.305226,7.228096
3zdg,7.1,8,-7.026458,6.447944
3zso,5.12,52,-7.212714,8.396669
3zsx,3.28,52,-6.324023,6.714244
3zt2,2.84,52,-6.475638,5.687424
4abg,3.57,47,-3.890009,4.627737
4agn,3.97,5,-6.282895,5.807806
4agp,4.69,5,-6.665825,6.162573
4agq,5.01,5,-8.119246,6.498653
4bkt,3.62,54,-4.290001,5.919147
4cig,3.67,52,-6.852883,7.555759
4ciw,4.82,53,-4.520326,6.572880
4cr9,4.1,4,-1.188721,4.532708
4cra,7.22,4,-2.425404,7.820282
4crc,8.72,4,-1.280619,8.552796
4ddh,3.32,28,-3.062222,5.562396
4ddk,2.29,28,-2.137670,4.729289
4de1,5.96,42,-1.303850,4.923499
4de2,4.12,42,-1.855236,5.851098
4de3,5.52,42,-1.360898,5.395693
4djv,6.72,19,-2.159187,8.280525
4dld,5.82,43,-6.998462,8.173674
4dli,5.62,22,-5.250622,6.091340
4e5w,7.66,30,-3.228459,8.015209
4e6q,8.36,31,-1.254033,8.490463
4ea2,6.44,33,-6.055771,6.778065
4eky,3.52,12,-3.781474,5.851664
4eo8,8.15,15,-4.659021,6.515269
4eor,6.3,29,-3.374951,7.994177
4f09,6.7,31,-1.013159,8.369775
4f2w,11.3,46,-2.867839,10.141502
4f3c,11.82,46,-5.004621,10.266294
4f9w,6.94,22,-1.307774,7.930380
4gfm,7.22,31,-6.205685,7.406606
4gid,10.77,19,-1.645828,8.703731
4gkm,5.17,23,-2.527688,5.413512
4gr0,9.55,56,-3.366644,9.686106
4hge,7.92,31,-7.477709,8.348156
4ih5,4.11,15,-5.084046,6.402146
4ih7,5.24,15,-1.634644,4.938328
4ivb,8.72,30,-1.299648,7.940769
4ivc,10.0,30,-1.033300,8.199492
4ivd,9.52,30,-1.363641,8.127011
4j21,7.41,49,-5.188590,6.995740
4j28,5.7,20,-2.395719,7.586692
4j3l,7.8,49,-4.438271,7.315679
4jfs,5.27,20,-1.747273,6.940630
4jia,9.22,31,-2.064988,7.789234
4jsz,2.3,38,-1.841828,6.501256
4jxs,4.74,24,-2.478175,5.857503
4k18,8.96,6,-1.151605,8.367516
4k77,6.63,30,-1.251885,7.191867
4kz6,3.1,24,-3.942613,5.197924
4kzq,6.1,49,-1.170781,5.891613
4kzu,6.5,49,-1.127565,6.532103
4llx,2.89,1,-1.888474,3.825928
4lzs,4.8,10,-4.257982,5.143868
4m0y,6.46,3,-0.828157,6.555815
4m0z,5.19,3,-1.150675,6.795838
4mgd,4.69,44,-1.241431,6.520016
4mme,6.5,17,-1.577155,6.129621
4ogj,6.79,10,-1.783953,7.359428
4owm,2.96,23,-2.170856,3.687165
4pcs,7.85,20,-3.033225,6.897518
4qac,9.4,8,-1.882930,7.657887
4qd6,8.64,3,-2.694567,7.238737
4rfm,10.05,3,-2.559550,8.921274
4tmn,10.17,27,-2.463318,7.871980
4twp,10.0,7,-1.944818,8.783064
4ty7,9.52,4,-6.885618,8.408627
4u4s,2.92,41,-7.087797,5.564991
4w9c,4.65,54,-1.381660,5.409180
4w9h,6.73,54,-0.955364,6.920806
4w9i,5.96,54,-1.320362,6.220251
4w9l,5.02,54,-0.877287,7.407887
4wiv,6.26,10,-7.170680,6.724877
4x6p,8.3,4,-5.275592,8.407757
5a7b,3.57,5,-7.209920,6.252064
5aba,2.98,5,-6.718907,5.614183
5c28,5.66,1,-6.918720,5.991742
5c2h,11.09,1,-5.607960,8.704606
5dwr,11.22,6,-2.794229,8.739025
5tmn,8.04,27,-2.199720,6.823173
