pdbid,pose,rmsd,head
1c5z,1c5z_586,2.110,1.8400
1c5z,1c5z_590,5.140,-0.2460
1c5z,1c5z_593,3.440,-0.3030
1c5z,1c5z_596,4.780,0.4780
1c5z,1c5z_607,1.500,-0.8060
1c5z,1c5z_460,1.660,-1.7940
1c5z,1c5z_465,0.970,-2.1950
1c5z,1c5z_482,1.870,0.2160
1c5z,1c5z_509,6.500,2.1010
1c5z,1c5z_516,6.770,1.9640
1c5z,1c5z_519,2.740,3.6420
1c5z,1c5z_520,4.730,2.5370
1c5z,1c5z_530,1.330,2.9980
1c5z,1c5z_402,0.870,5.1160
1c5z,1c5z_415,2.670,0.7780
1c5z,1c5z_425,1.200,0.3470
1c5z,1c5z_427,0.920,2.1450
1c5z,1c5z_431,1.110,2.0470
1c5z,1c5z_438,2.900,1.9460
1c5z,1c5z_449,0.720,-1.6620
1c5z,1c5z_452,0.770,3.3670
1bcu,1bcu_773,9.200,1.5300
1bcu,1bcu_777,9.120,1.1330
1bcu,1bcu_778,9.890,0.9880
1bcu,1bcu_782,9.550,1.3490
1bcu,1bcu_788,9.650,1.2290
1bcu,1bcu_790,9.390,1.4280
1bcu,1bcu_803,2.070,4.7660
1bcu,1bcu_806,0.710,4.5850
1bcu,1bcu_725,6.310,3.9560
1bcu,1bcu_729,5.070,2.0700
1bcu,1bcu_738,6.500,3.0290
1bcu,1bcu_741,8.390,-0.9440
1bcu,1bcu_742,7.620,-0.4650
1bcu,1bcu_745,7.580,2.3290
1bcu,1bcu_749,7.820,2.7020
1bcu,1bcu_752,6.430,2.8570
1bcu,1bcu_753,9.220,2.4210
1bcu,1bcu_754,8.100,2.8530
1bcu,1bcu_756,6.010,1.6850
1bcu,1bcu_758,8.420,0.0870
1bcu,1bcu_761,8.500,1.4610
1bcu,1bcu_764,8.800,1.8270
1bcu,1bcu_765,9.970,1.9520
1bcu,1bcu_772,7.130,2.6760
1bcu,1bcu_813,7.670,4.9640
1bcu,1bcu_825,1.240,1.3350
1bcu,1bcu_828,3.520,4.0290
1bcu,1bcu_829,3.820,3.2430
1bcu,1bcu_843,6.520,2.5540
1bcu,1bcu_850,7.670,2.2860
1bcu,1bcu_852,2.220,3.2650
1bcu,1bcu_855,6.790,-1.9160
1bcu,1bcu_931,7.490,1.1310
1bcu,1bcu_933,5.120,4.1190
1bcu,1bcu_939,4.450,2.6450
1bcu,1bcu_949,3.250,0.0390
1bcu,1bcu_967,4.740,3.1570
1bcu,1bcu_971,8.050,1.7690
1bcu,1bcu_977,4.690,3.1470
1bcu,1bcu_980,5.750,4.7160
1bcu,1bcu_701,1.860,5.0210
1bcu,1bcu_703,0.610,5.3760
1bcu,1bcu_708,8.320,2.9500
1bcu,1bcu_712,8.210,4.8790
1bcu,1bcu_715,6.420,1.7850
1bcu,1bcu_717,7.050,-0.3270
1bcu,1bcu_718,9.180,-3.3960
1bcu,1bcu_720,4.760,2.5630
1bcu,1bcu_862,9.040,2.9530
1bcu,1bcu_869,4.130,3.2030
1bcu,1bcu_878,5.730,3.6160
1bcu,1bcu_881,7.740,3.6820
1bcu,1bcu_885,5.100,3.3680
1bcu,1bcu_886,5.710,1.2050
1bcu,1bcu_887,4.260,3.7340
1bcu,1bcu_888,5.260,3.8300
1c5z,1c5z_931,3.860,2.5570
1c5z,1c5z_937,7.080,2.2470
1c5z,1c5z_953,7.030,2.3720
1c5z,1c5z_955,7.210,2.4980
1c5z,1c5z_959,4.240,1.9750
1e66,1e66_158,0.560,11.0880
1e66,1e66_247,0.710,6.0740
1e66,1e66_402,0.660,5.9400
1bcu,1bcu_890,4.300,2.0180
1bcu,1bcu_893,8.620,0.8440
1bcu,1bcu_898,5.450,4.2780
1bcu,1bcu_903,1.580,3.3530
1bcu,1bcu_915,7.970,5.2630
1bcu,1bcu_919,3.860,3.4180
1bcu,1bcu_920,3.430,2.8970
1bcu,1bcu_923,0.750,5.0460
1bcu,1bcu_469,2.570,-3.0600
1bcu,1bcu_473,2.560,-6.8680
1bcu,1bcu_479,1.440,5.6020
1bcu,1bcu_483,2.150,1.5470
1bcu,1bcu_495,1.780,1.4610
1bcu,1bcu_564,6.110,3.1410
1bcu,1bcu_585,5.890,0.8370
1bcu,1bcu_591,4.490,-0.8950
1bcu,1bcu_595,3.320,-1.3540
1bcu,1bcu_608,6.860,-5.0550
1bcu,1bcu_617,2.900,2.7450
1bcu,1bcu_634,2.550,2.0990
1bcu,1bcu_653,3.250,-4.7290
1bcu,1bcu_661,2.080,-5.8540
1bcu,1bcu_684,0.920,6.0420
1bcu,1bcu_695,3.450,4.0780
1bcu,1bcu_362,0.590,6.6690
1bcu,1bcu_397,0.660,6.2430
1bcu,1bcu_406,0.870,5.8520
1bcu,1bcu_424,1.830,-5.4670
1bcu,1bcu_442,1.960,0.6750
1bcu,1bcu_451,3.560,-8.5000
1bcu,1bcu_454,4.570,-11.1780
1bcu,1bcu_462,2.530,2.0470
1gpk,1gpk_764,9.250,0.5640
1gpk,1gpk_779,9.910,-0.8830
1gpk,1gpk_782,5.340,0.1570
1gpk,1gpk_783,9.910,-1.7650
1gpk,1gpk_785,5.980,-5.1430
1gpk,1gpk_788,5.020,-24.7110
1gpk,1gpk_793,4.380,-13.5350
1gpk,1gpk_794,2.750,-29.3380
1bcu,1bcu_981,2.980,1.1740
1bcu,1bcu_983,4.690,4.5700
1bcu,1bcu_984,8.420,-1.4980
1bcu,1bcu_989,5.640,2.6740
1bcu,1bcu_991,6.660,2.8230
1bcu,1bcu_996,1.920,4.4800
1bzc,1bzc_101,5.240,7.1980
1bzc,1bzc_111,4.980,7.1480
1gpn,1gpn_330,0.510,9.8750
1gpn,1gpn_401,0.980,8.1980
1gpn,1gpn_404,1.470,3.8290
1gpn,1gpn_405,0.560,5.1420
1gpn,1gpn_407,0.580,6.9540
1gpn,1gpn_422,2.280,7.9740
1gpn,1gpn_435,1.000,2.7470
1gpn,1gpn_443,0.920,2.5790
1a30,1a30_997,8.430,3.6590
1a30,1a30_999,7.880,4.6570
1bcu,1bcu_11,1.000,4.5050
1bcu,1bcu_220,1.130,5.1540
1bcu,1bcu_270,3.320,2.4950
1bcu,1bcu_309,0.360,6.3470
1bcu,1bcu_33,1.200,2.7950
1bcu,1bcu_334,0.630,6.4380
1gpk,1gpk_850,5.150,0.6320
1gpk,1gpk_874,5.160,3.9470
1gpk,1gpk_95,2.020,8.0580
1gpk,1gpk_984,2.200,6.9520
1gpk,1gpk_988,3.130,3.3260
1gpn,1gpn_109,1.210,9.0060
1gpn,1gpn_252,0.370,9.7410
1gpn,1gpn_299,0.350,10.2040
1gpk,1gpk_666,3.800,1.7590
1gpk,1gpk_668,2.630,-2.3870
1gpk,1gpk_67,3.730,7.1690
1gpk,1gpk_683,5.070,-17.6200
1gpk,1gpk_689,4.170,-2.3040
1gpk,1gpk_697,4.510,-2.0080
1gpk,1gpk_700,5.380,-1.7230
1gpk,1gpk_735,4.180,-0.7640
1gpn,1gpn_759,3.140,7.2700
1gpn,1gpn_768,5.510,3.0180
1gpn,1gpn_775,2.950,-0.7760
1gpn,1gpn_779,2.880,-1.3120
1gpn,1gpn_781,4.180,1.7130
1gpn,1gpn_782,2.280,1.5970
1gpn,1gpn_784,6.020,1.3390
1gpn,1gpn_785,3.080,1.6760
1gpk,1gpk_588,3.040,-4.4040
1gpk,1gpk_590,5.430,1.8330
1gpk,1gpk_600,3.590,-2.3040
1gpk,1gpk_609,3.710,4.2520
1gpk,1gpk_612,5.100,-5.1550
1gpk,1gpk_625,6.560,-11.5960
1gpk,1gpk_641,4.450,0.4320
1gpk,1gpk_660,2.160,3.9490
1gpk,1gpk_496,2.690,0.4580
1gpk,1gpk_548,4.690,-3.9920
1gpk,1gpk_560,4.340,1.0710
1gpk,1gpk_569,4.240,-0.8870
1gpk,1gpk_571,1.470,5.2670
1gpk,1gpk_577,5.030,0.5650
1gpk,1gpk_578,4.580,-2.0800
1gpk,1gpk_583,2.740,4.3240
1gpn,1gpn_483,3.440,3.6200
1gpn,1gpn_490,3.710,2.5300
1gpn,1gpn_549,2.790,2.3790
1gpn,1gpn_551,4.480,-0.6820
1gpn,1gpn_553,5.580,-2.4710
1gpn,1gpn_555,2.430,3.0440
1gpn,1gpn_556,4.070,4.6890
1gpn,1gpn_578,4.420,-4.1750
1gpn,1gpn_657,4.260,1.5010
1gpn,1gpn_658,2.560,0.5960
1gpn,1gpn_662,1.330,2.2320
1gpn,1gpn_675,1.850,2.3910
1gpn,1gpn_682,4.640,2.0030
1gpn,1gpn_683,3.040,-0.6430
1gpn,1gpn_684,5.410,0.2370
1gpn,1gpn_689,1.400,-2.5950
1gpk,1gpk_450,2.990,4.4490
1gpk,1gpk_46,0.480,9.6140
1gpk,1gpk_460,2.110,-2.1410
1gpk,1gpk_463,1.440,7.5810
1gpk,1gpk_465,0.960,4.6340
1gpk,1gpk_473,1.850,4.3610
1gpk,1gpk_477,4.010,1.2990
1gpk,1gpk_494,3.880,-17.7040
1gpk,1gpk_409,0.900,1.6300
1gpk,1gpk_415,1.620,7.0630
1gpk,1gpk_419,1.130,5.1620
1gpk,1gpk_420,1.960,6.5840
1gpk,1gpk_427,1.130,7.0800
1gpk,1gpk_428,3.010,7.4510
1gpk,1gpk_429,1.770,3.7350
1gpk,1gpk_437,2.130,7.1460
1gpn,1gpn_446,2.850,1.4040
1gpn,1gpn_451,1.400,7.7830
1gpn,1gpn_459,3.820,1.7930
1gpn,1gpn_466,3.700,6.8490
1gpn,1gpn_471,1.910,-2.7460
1gpn,1gpn_475,1.160,-8.3700
1gpn,1gpn_477,0.950,-0.6800
1gpn,1gpn_481,4.060,-13.2180
1gpk,1gpk_231,3.410,3.4710
1gpk,1gpk_239,0.350,8.6650
1gpk,1gpk_267,1.900,7.7410
1gpk,1gpk_280,1.960,7.0450
1gpk,1gpk_328,0.520,9.9580
1gpk,1gpk_364,0.260,10.1870
1gpk,1gpk_404,3.650,1.6170
1gpk,1gpk_407,0.790,7.7240
1gpn,1gpn_589,2.460,-1.8840
1gpn,1gpn_596,3.840,2.9110
1gpn,1gpn_600,1.090,1.3660
1gpn,1gpn_61,0.870,4.4350
1gpn,1gpn_615,2.570,4.0980
1gpn,1gpn_617,3.350,4.2450
1gpn,1gpn_638,1.930,2.5180
1gpn,1gpn_653,3.150,-1.4180
1e66,1e66_574,6.100,-2.1610
1e66,1e66_577,5.600,-4.1500
1e66,1e66_587,2.430,-10.3650
1e66,1e66_589,2.270,-2.4150
1e66,1e66_591,6.880,-5.7310
1e66,1e66_617,4.970,1.0040
1e66,1e66_633,5.580,-1.4530
1e66,1e66_656,2.770,-5.7050
1e66,1e66_498,4.300,-5.1830
1e66,1e66_504,3.900,0.8160
1e66,1e66_505,3.570,-1.9470
1e66,1e66_550,4.330,1.6720
1e66,1e66_551,5.760,-5.6170
1e66,1e66_552,6.230,-0.1640
1e66,1e66_553,6.450,-5.0400
1e66,1e66_573,6.060,-3.1450
1bzc,1bzc_694,5.400,-0.2540
1bzc,1bzc_700,7.090,-13.0770
1bzc,1bzc_709,0.680,6.8460
1bzc,1bzc_778,7.270,3.0140
1bzc,1bzc_963,3.030,5.8270
1c5z,1c5z_247,0.610,3.7950
1c5z,1c5z_258,0.920,1.2430
1c5z,1c5z_3,0.400,5.7490
1e66,1e66_774,1.090,6.8960
1e66,1e66_787,0.600,8.6350
1e66,1e66_806,4.290,5.1080
1e66,1e66_807,5.030,6.6270
1e66,1e66_810,4.760,5.4190
1e66,1e66_823,6.220,3.0370
1e66,1e66_841,2.840,4.9580
1e66,1e66_842,4.770,4.5450
1e66,1e66_661,2.740,-0.6820
1e66,1e66_678,3.020,2.8120
1e66,1e66_700,3.370,0.2330
1e66,1e66_702,5.320,4.2210
1e66,1e66_712,1.760,4.8710
1e66,1e66_733,6.200,-0.0770
1e66,1e66_744,4.250,1.8600
1e66,1e66_746,3.800,1.8300
1e66,1e66_859,3.410,1.1290
1e66,1e66_860,5.850,3.7450
1e66,1e66_862,3.890,1.7140
1e66,1e66_863,2.510,0.0780
1e66,1e66_865,4.570,-3.3390
1e66,1e66_867,4.390,-1.8770
1e66,1e66_870,5.700,-1.5180
1e66,1e66_891,0.780,7.1180
1e66,1e66_466,1.940,-7.4000
1e66,1e66_467,1.610,-13.9490
1e66,1e66_468,2.900,-1.9430
1e66,1e66_477,2.060,-9.6740
1e66,1e66_483,1.570,-12.3980
1e66,1e66_484,1.510,-2.5260
1e66,1e66_489,4.050,-5.2300
1e66,1e66_495,3.270,-10.3050
1e66,1e66_404,0.970,5.0210
1e66,1e66_406,0.860,4.3770
1e66,1e66_412,1.290,4.4270
1e66,1e66_419,0.970,-5.5400
1e66,1e66_422,1.500,6.7940
1e66,1e66_429,1.550,-8.2730
1e66,1e66_440,1.570,-4.0700
1e66,1e66_442,3.970,-7.3360
1e66,1e66_754,5.230,-1.2920
1e66,1e66_755,5.600,-7.9030
1e66,1e66_761,2.360,-2.2580
1e66,1e66_763,6.260,-6.1900
1e66,1e66_767,3.530,-5.8940
1e66,1e66_768,2.890,-3.9750
1e66,1e66_771,6.060,-16.5960
1e66,1e66_772,6.260,-10.1240
1a30,1a30_705,1.790,5.5710
1a30,1a30_706,1.810,5.2830
1a30,1a30_709,1.910,5.1180
1a30,1a30_712,1.930,5.1290
1a30,1a30_718,1.950,4.8300
1a30,1a30_731,1.840,4.9740
1a30,1a30_733,9.150,4.4780
1a30,1a30_736,9.000,4.4250
1a30,1a30_314,4.030,5.4610
1a30,1a30_319,5.030,6.2270
1a30,1a30_336,3.000,5.8480
1a30,1a30_348,2.090,5.7720
1a30,1a30_35,3.570,4.6770
1a30,1a30_353,3.150,5.5060
1a30,1a30_388,4.550,5.1000
1a30,1a30_407,6.420,-1.8810
1a30,1a30_743,1.880,5.4320
1a30,1a30_744,9.050,3.7990
1a30,1a30_747,8.770,4.9440
1a30,1a30_75,8.070,6.4670
1a30,1a30_754,8.760,3.8450
1a30,1a30_759,4.150,2.8270
1a30,1a30_797,2.820,2.6700
1a30,1a30_828,3.530,5.3370
1a30,1a30_128,7.020,5.1360
1a30,1a30_130,2.090,6.1350
1a30,1a30_139,3.030,5.3140
1a30,1a30_140,2.700,5.2180
1a30,1a30_144,2.910,5.9590
1a30,1a30_167,5.280,6.1540
1a30,1a30_170,2.970,5.4660
1a30,1a30_186,4.120,4.8460
1a30,1a30_86,2.290,4.6270
1a30,1a30_868,5.560,3.0570
1a30,1a30_87,9.320,4.0780
1a30,1a30_883,5.480,5.4210
1a30,1a30_899,5.380,4.8680
1a30,1a30_90,3.870,4.1690
1a30,1a30_920,8.580,5.8760
1a30,1a30_935,9.200,4.5100
1a30,1a30_577,6.780,-0.7480
1a30,1a30_6,9.650,5.1420
1a30,1a30_653,5.800,-5.3060
1a30,1a30_664,5.140,2.3230
1a30,1a30_667,3.510,0.1180
1a30,1a30_670,5.530,-3.4990
1a30,1a30_671,2.010,-5.9210
1a30,1a30_704,1.900,5.5410
1a30,1a30_187,5.140,4.5450
1a30,1a30_22,3.870,1.6920
1a30,1a30_221,4.590,3.3880
1a30,1a30_222,4.470,3.8630
1a30,1a30_267,3.760,2.5590
1a30,1a30_270,8.260,4.5830
1a30,1a30_284,3.700,-0.0820
1a30,1a30_296,4.510,1.5020
1a30,1a30_938,9.210,6.0000
1a30,1a30_940,4.120,4.1110
1a30,1a30_942,7.330,4.2870
1a30,1a30_944,8.690,4.9260
1a30,1a30_955,9.330,4.7000
1a30,1a30_972,8.830,5.1230
1a30,1a30_985,8.630,4.9860
1a30,1a30_992,3.160,4.5490
1a30,1a30_418,6.020,-0.3150
1a30,1a30_450,6.070,-0.5700
1a30,1a30_452,2.740,-0.2380
1a30,1a30_490,1.790,-2.6230
1a30,1a30_498,4.520,0.1630
1a30,1a30_538,4.190,-3.9860
1a30,1a30_559,6.230,0.8250
1a30,1a30_569,5.070,-4.7520
1bzc,1bzc_527,0.960,-0.4940
1bzc,1bzc_530,1.490,1.5080
1bzc,1bzc_539,1.750,-6.2840
1bzc,1bzc_546,2.880,-4.7510
1bzc,1bzc_549,3.190,4.0040
1bzc,1bzc_556,1.770,-1.3190
1bzc,1bzc_558,2.770,-6.9480
1bzc,1bzc_566,7.260,-2.0050
1bzc,1bzc_651,6.250,-2.9160
1bzc,1bzc_652,6.780,-12.8180
1bzc,1bzc_659,9.030,-1.6470
1bzc,1bzc_660,8.500,-0.6260
1bzc,1bzc_664,7.730,-10.3590
1bzc,1bzc_666,7.350,-4.1710
1bzc,1bzc_669,3.390,-10.5720
1bzc,1bzc_670,7.210,1.1140
1bzc,1bzc_614,2.740,-7.3890
1bzc,1bzc_615,6.340,-6.5200
1bzc,1bzc_620,7.190,-2.5040
1bzc,1bzc_622,6.480,-7.3050
1bzc,1bzc_625,3.300,-9.9620
1bzc,1bzc_629,3.240,-8.6060
1bzc,1bzc_633,3.010,-9.0130
1bzc,1bzc_644,6.810,-9.1280
1gpn,1gpn_786,6.040,0.5630
1gpn,1gpn_794,4.770,-7.8070
1gpn,1gpn_796,5.370,-15.1730
1gpn,1gpn_868,4.020,7.0050
1gpn,1gpn_885,4.460,1.9600
1h22,1h22_1,7.350,6.8090
1h22,1h22_12,3.060,6.8170
1h22,1h22_140,2.930,7.3470
1bzc,1bzc_323,0.740,8.4170
1bzc,1bzc_375,0.690,7.9740
1bzc,1bzc_409,8.420,-15.4570
1bzc,1bzc_412,5.630,-20.5930
1bzc,1bzc_414,7.550,-9.2740
1bzc,1bzc_427,5.290,-21.2830
1bzc,1bzc_43,0.830,7.9670
1bzc,1bzc_439,5.750,-29.7050
1bzc,1bzc_671,6.550,-3.4120
1bzc,1bzc_674,5.750,-9.8370
1bzc,1bzc_677,4.030,1.7310
1bzc,1bzc_681,5.840,-9.2300
1bzc,1bzc_682,7.890,-4.9510
1bzc,1bzc_686,8.520,-5.2060
1bzc,1bzc_688,8.710,-8.9090
1bzc,1bzc_690,6.480,-1.6290
1bzc,1bzc_577,2.020,0.0870
1bzc,1bzc_579,3.130,0.1670
1bzc,1bzc_588,2.120,-6.8210
1bzc,1bzc_592,2.620,-1.4010
1bzc,1bzc_593,1.710,2.1930
1bzc,1bzc_597,2.890,-6.9840
1bzc,1bzc_608,9.650,-1.3940
1bzc,1bzc_611,5.640,-12.5700
1bzc,1bzc_142,1.300,7.8650
1bzc,1bzc_190,0.680,8.2050
1bzc,1bzc_217,0.750,8.2400
1bzc,1bzc_223,0.770,8.1560
1bzc,1bzc_225,1.010,6.3940
1bzc,1bzc_260,2.010,5.0730
1bzc,1bzc_265,0.700,5.5360
1bzc,1bzc_300,0.760,6.1430
1bzc,1bzc_440,4.880,-12.3160
1bzc,1bzc_443,8.240,-26.7370
1bzc,1bzc_449,7.590,-4.3650
1bzc,1bzc_461,2.980,-9.2790
1bzc,1bzc_463,8.030,-29.2140
1bzc,1bzc_464,5.340,-22.4280
1bzc,1bzc_466,1.990,-3.8960
1bzc,1bzc_469,3.030,0.5910
1bzc,1bzc_473,5.260,-16.4590
1bzc,1bzc_481,3.380,-16.3040
1bzc,1bzc_487,4.600,-20.9940
1bzc,1bzc_502,1.750,3.2520
1bzc,1bzc_504,1.400,-0.1840
1bzc,1bzc_522,3.160,-3.6750
1bzc,1bzc_524,2.610,-2.2220
1bzc,1bzc_526,1.760,-1.8270
1g2k,1g2k_762,1.940,4.4940
1g2k,1g2k_771,2.010,5.5780
1g2k,1g2k_874,1.390,6.0060
1g2k,1g2k_900,0.920,8.5450
1g2k,1g2k_98,4.890,6.9190
1gpk,1gpk_159,0.760,7.9260
1gpk,1gpk_182,0.910,8.7620
1gpk,1gpk_194,0.620,9.3010
1eby,1eby_575,7.090,-21.0200
1eby,1eby_576,6.470,-19.0820
1eby,1eby_580,9.200,-16.9910
1eby,1eby_582,7.830,-10.0450
1eby,1eby_584,8.020,-20.3430
1eby,1eby_595,8.640,-22.9190
1eby,1eby_597,7.060,-21.6670
1eby,1eby_600,9.680,-10.3880
1e66,1e66_907,0.850,4.0730
1e66,1e66_909,0.980,8.9000
1e66,1e66_921,5.460,1.5540
1eby,1eby_169,9.110,5.2340
1eby,1eby_211,0.970,9.2740
1eby,1eby_217,0.990,8.5840
1eby,1eby_218,2.340,8.0780
1eby,1eby_223,0.840,8.9150
1g2k,1g2k_546,7.100,-1.5740
1g2k,1g2k_551,7.240,-14.1760
1g2k,1g2k_556,3.600,-11.5620
1g2k,1g2k_565,7.160,-16.6660
1g2k,1g2k_566,5.770,-10.6620
1g2k,1g2k_568,7.330,-13.7650
1g2k,1g2k_569,7.530,-20.1500
1g2k,1g2k_573,7.260,-23.1800
1g2k,1g2k_625,6.120,-5.9130
1g2k,1g2k_639,2.340,-18.1730
1g2k,1g2k_640,9.370,-8.7070
1g2k,1g2k_644,4.520,-13.2470
1g2k,1g2k_645,2.990,-9.2620
1g2k,1g2k_646,4.510,-12.0790
1g2k,1g2k_649,6.600,-8.6560
1g2k,1g2k_650,5.060,-5.2110
1g2k,1g2k_652,4.450,-18.6350
1g2k,1g2k_654,9.570,1.2500
1g2k,1g2k_663,8.370,-11.8370
1g2k,1g2k_668,9.310,-9.9400
1g2k,1g2k_670,9.230,-8.7740
1g2k,1g2k_673,9.150,-0.9620
1g2k,1g2k_675,3.220,-14.1520
1g2k,1g2k_677,5.990,-14.7530
1eby,1eby_540,5.140,-2.5660
1eby,1eby_548,5.420,-21.4450
1eby,1eby_556,6.330,-30.6120
1eby,1eby_563,4.310,-10.0860
1eby,1eby_569,9.790,-10.3200
1eby,1eby_571,4.160,-16.4360
1eby,1eby_572,8.960,-9.9680
1eby,1eby_573,9.440,-11.3100
1g2k,1g2k_502,3.760,-12.9560
1g2k,1g2k_504,2.180,0.3250
1g2k,1g2k_516,6.050,-4.1730
1g2k,1g2k_52,0.750,10.0380
1g2k,1g2k_520,6.860,-18.3140
1g2k,1g2k_521,9.600,-7.7830
1g2k,1g2k_530,6.580,-11.0380
1g2k,1g2k_543,8.750,-14.8300
1g2k,1g2k_679,7.560,-2.3340
1g2k,1g2k_683,5.120,-19.4910
1g2k,1g2k_684,8.650,-8.6420
1g2k,1g2k_690,7.530,-1.8460
1g2k,1g2k_705,1.730,6.5840
1g2k,1g2k_736,1.710,5.4580
1g2k,1g2k_737,1.610,5.6500
1g2k,1g2k_74,0.600,11.2270
1g2k,1g2k_582,9.060,-3.9870
1g2k,1g2k_584,7.810,-26.0030
1g2k,1g2k_588,9.100,-6.4240
1g2k,1g2k_589,8.880,-8.7780
1g2k,1g2k_590,6.200,-15.0840
1g2k,1g2k_591,6.830,-28.8130
1g2k,1g2k_592,7.320,-8.3550
1g2k,1g2k_597,8.520,-17.7830
1g2k,1g2k_598,6.380,-16.0310
1g2k,1g2k_600,4.440,-3.3060
1g2k,1g2k_606,9.930,-4.1810
1g2k,1g2k_607,6.670,-10.5800
1g2k,1g2k_610,3.300,-6.8240
1g2k,1g2k_617,5.340,-6.0720
1g2k,1g2k_621,3.890,-9.9000
1g2k,1g2k_624,5.900,-7.5160
1g2k,1g2k_294,0.960,8.5880
1g2k,1g2k_295,1.170,8.5000
1g2k,1g2k_306,2.670,8.3550
1g2k,1g2k_328,0.540,10.7270
1g2k,1g2k_403,2.840,-12.6670
1g2k,1g2k_404,4.060,-12.5930
1g2k,1g2k_408,3.690,-20.9520
1g2k,1g2k_417,2.550,-19.8660
1g2k,1g2k_225,0.700,10.1100
1g2k,1g2k_242,1.130,9.1410
1g2k,1g2k_247,0.640,9.8020
1g2k,1g2k_248,0.990,6.8330
1g2k,1g2k_265,0.690,9.5530
1g2k,1g2k_271,0.510,9.7750
1g2k,1g2k_283,1.010,8.1950
1g2k,1g2k_290,1.240,7.9430
1g2k,1g2k_467,4.580,-40.3160
1g2k,1g2k_468,3.440,-32.4460
1g2k,1g2k_469,2.570,-30.6660
1g2k,1g2k_473,5.800,-9.6040
1g2k,1g2k_475,2.830,-32.1890
1g2k,1g2k_482,2.960,-13.3280
1g2k,1g2k_487,5.950,-20.0360
1g2k,1g2k_497,3.210,-27.9630
1g2k,1g2k_420,3.870,-33.4080
1g2k,1g2k_436,5.040,-20.5780
1g2k,1g2k_454,6.930,-27.0150
1g2k,1g2k_456,4.330,-31.5590
1g2k,1g2k_458,5.040,-43.2060
1g2k,1g2k_460,3.650,-26.8330
1g2k,1g2k_462,4.470,-41.7900
1g2k,1g2k_466,4.190,-29.5380
1eby,1eby_473,3.640,-41.3620
1eby,1eby_477,3.190,-46.7280
1eby,1eby_481,4.940,-21.2510
1eby,1eby_488,4.110,-32.6120
1eby,1eby_490,4.070,-53.3810
1eby,1eby_493,5.950,-14.3610
1eby,1eby_499,3.310,-26.5160
1eby,1eby_503,7.810,-2.1120
1eby,1eby_673,8.490,-14.8550
1eby,1eby_688,6.710,-14.4690
1eby,1eby_689,6.870,-18.6260
1eby,1eby_694,8.410,-5.3210
1eby,1eby_731,3.120,6.5230
1eby,1eby_741,6.510,4.6860
1eby,1eby_751,7.570,4.1480
1eby,1eby_763,4.940,5.4270
1eby,1eby_507,8.970,0.2350
1eby,1eby_514,5.840,-6.6630
1eby,1eby_517,9.230,-3.3060
1eby,1eby_519,6.000,-9.2760
1eby,1eby_531,5.540,-18.9010
1eby,1eby_532,7.620,-14.6900
1eby,1eby_535,6.950,-12.1150
1eby,1eby_538,4.050,-22.2200
1eby,1eby_416,2.570,-42.1460
1eby,1eby_444,3.950,-49.1850
1eby,1eby_447,2.720,-29.2020
1eby,1eby_453,3.340,-34.4980
1eby,1eby_456,4.570,-46.0220
1eby,1eby_464,4.140,-17.7900
